sn_name ra_deg dec_deg best_sep_arcsec proposal_ids
PTF14gnl 5.95137500 -3.85775000 0.000 14779
CSP14ade 84.32766700 -75.72138900 0.000 14779
SN2015F 114.06566700 -69.50638900 0.001 14779
SNhunt281 226.37529200 1.63400000 0.001 14779
SN2014I 85.58250000 -25.54441700 0.001 14779
PTF14fpg 7.05000000 7.16208300 0.001 14779
PTF13ebh 35.49991700 33.27047200 0.001 14779
SN2013hh 172.26820800 17.23597200 0.001 14779
PS15sv 243.29891700 1.59197200 0.001 14779
SN2014dl 247.44204200 8.64183300 0.002 14779
SN2012bl 305.98033300 -48.35480600 0.002 12582
LSQ15aae 247.56541700 5.93298100 0.032 14779
ASAS14lq 344.33087500 -20.96687800 0.039 14779
CSP14acy 10.61979200 -64.76416700 0.063 14779
PTF13duj 318.43658300 13.57586100 0.255 15166
ASAS14lw 16.70487500 -46.98332200 0.859 14779
SN2013gv 47.48879200 19.21366700 0.902 14779
ASAS14lo 177.97129200 18.54138900 2.300 14779
SN2008ha 353.71954200 18.22650000 4.416 14668
PTF11qnr 341.10604200 -0.16722200 16.183 16287
SN2013fz 65.94350000 -51.59619400 18.012 15166
SN2006mr 50.67933300 -37.20813900 23.167 16569
SN2007af 215.58762500 -0.39377800 40.749 16287
SN2006X 185.72495800 15.80919400 45.951 15654;16657
