sample_sn,found_in_lowz_Ia,lowz_Ia_matches
ASASSN-13cj,False,
ASASSN-13cp,False,
ASASSN-14ba,False,
ASASSN-14cu,False,
ASASSN-14db,False,
ASASSN-14dd,False,
ASASSN-14dz,False,
ASASSN-14ig,False,
ASASSN-14lv,False,
ASASSN-14mg,False,
ASASSN-15ho,False,
CSP13V,False,
CSS130317:082848+293031,False,
LSQ12cfx,False,
LSQ12cid,False,
LSQ12hnx,False,
LSQ14aeg,False,
LSQ14fmg,False,
LSQ14gde,False,
PS15mb,False,
PSNJ07250042+2347030,False,
SN1997de,False,
SN2000do,False,
SN2004cs,False,
SN2005bs,False,
SN2005cf_B,False,
SN2009ev,False,
SN2010jn,False,
SN2010jo,False,
SN2011ce,False,
SN2011jq,False,
SN2012ec,False,
SN2012he,False,
SN2013da,False,
SN2013dl,False,
SN2013ef,False,
SN2013gr,False,
SN2013hk,False,
SN2014bz,False,
SN2014cr,False,
SN2014dm,False,
SN2014ey,False,
SN2016ecm,False,
SN2016gwl,False,
SN2016jhr,False,
SN2017cyy,False,
SN2017dps,False,
SN2017hgz,False,
SN2018agk,False,
SN2018djd,False,
SN2018hnq,False,
SN2018oh,False,
SN2018xx,False,
SN2018yu,False,
SN2018zz,False,
SN2019fkq,False,
SN2019np,False,
SN2020ejm,False,
SN2020ftl,False,
SN2020xyw,False,
SN2021abze,False,
SN2021acnt,False,
SN2021adlr,False,
SN2021adlv,False,
SN2021adxd,False,
SN2021aess,False,
SN2021afkk,False,
SN2021agbn,False,
SN2021bmw,False,
SN2021cgu,False,
SN2021csp,False,
SN2021dbg,False,
SN2021dov,False,
SN2021gno,False,
SN2022crr,False,
SN2022crv,False,
SN2022epu,False,
SN2022esa,False,
SN2022vqz,False,
SN2022wsp,False,
SN2023abqf,False,
iPTF13dyt,False,
iPTF14hvh,False,
