sample_sn,lowz_match_used,status,message,output_file,n_filters,n_points
ASASSN-13ch,asassn-13ch,ok,,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/SNooPy/ASASSN-13ch_raw.txt,6,55
ASASSN-13cu,asassn-13cu,ok,,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/SNooPy/ASASSN-13cu_raw.txt,4,16
ASASSN-14fa,asassn-14fa,ok,,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/SNooPy/ASASSN-14fa_raw.txt,7,56
CSS121006:232854+085452,css121006_232854+085452,ok,,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/SNooPy/CSS121006_232854+085452_raw.txt,1,2
CSS121114:090202+101800,css121114_090202+101800,ok,,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/SNooPy/CSS121114_090202+101800_raw.txt,2,6
LSQ12dbr,lsq12dbr,failed,No .out_<filter> files found,,0,0
LSQ12fhs,lsq12fhs,ok,,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/SNooPy/LSQ12fhs_raw.txt,9,106
LSQ12fmx,lsq12fmx,ok,,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/SNooPy/LSQ12fmx_raw.txt,2,6
LSQ13cmt,lsq13cmt,ok,,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/SNooPy/LSQ13cmt_raw.txt,2,5
LSQ13crf,lsq13crf,ok,,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/SNooPy/LSQ13crf_raw.txt,4,33
OGLE16euo,ogle16euo,ok,,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/SNooPy/OGLE16euo_raw.txt,1,23
PS15mt,ps15mt,ok,,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/SNooPy/PS15mt_raw.txt,4,24
PTF10ops,ptf10ops,ok,,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/SNooPy/PTF10ops_raw.txt,4,42
PTF11qmo,ptf11qmo,ok,,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/SNooPy/PTF11qmo_raw.txt,2,4
PTF12iiq,ptf12iiq,failed,No .out_<filter> files found,,0,0
PTF12jgb,ptf12jgb,failed,No .out_<filter> files found,,0,0
SN1968I,sn1968i,failed,No .out_<filter> files found,,0,0
SN1986G,sn1986g,ok,,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/SNooPy/SN1986G_raw.txt,8,156
SN1991bj,sn1991bj,failed,No .out_<filter> files found,,0,0
SN1995Y,sn1995y,failed,No .out_<filter> files found,,0,0
SN1998dh,sn1998dh,ok,,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/SNooPy/SN1998dh_raw.txt,5,205
SN1999ee,sn1999ee,ok,,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/SNooPy/SN1999ee_raw.txt,9,692
SN2000dx,sn2000dx,failed,No .out_<filter> files found,,0,0
SN2000ey,sn2000ey,failed,No .out_<filter> files found,,0,0
SN2001da,sn2001da,ok,,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/SNooPy/SN2001da_raw.txt,9,140
SN2001el,sn2001el,ok,,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/SNooPy/SN2001el_raw.txt,8,262
SN2002ha,sn2002ha,ok,,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/SNooPy/SN2002ha_raw.txt,9,162
