sample_sn,has_snoopy_txt,matched_txt_files,n_matched_files
ASAS14lq,True,ASAS14lq_raw.txt,1
ASAS14lw,True,ASAS14lw_raw.txt,1
ASASSN-13ch,True,ASASSN-13ch_raw.txt,1
ASASSN-13cu,True,ASASSN-13cu_raw.txt,1
ASASSN-14cu,True,ASASSN-14cu_raw.txt,1
ASASSN-14dd,True,ASASSN-14dd_raw.txt,1
ASASSN-14fa,True,ASASSN-14fa_raw.txt,1
ASASSN-14hr,True,ASAS14hr_raw.txt,1
ASASSN-14hu,True,ASAS14hu_raw.txt,1
ASASSN-14ig,True,ASASSN-14ig_raw.txt,1
ASASSN-14jc,True,ASAS14jc_raw.txt,1
ASASSN-14jg,True,ASAS14jg_raw.txt,1
ASASSN-14kq,True,ASAS14kq_raw.txt,1
ASASSN-14lt,True,ASAS14lt_raw.txt,1
ASASSN-14me,True,ASAS14me_raw.txt,1
ASASSN-14mf,True,ASAS14mf_raw.txt,1
ASASSN-14mg,True,ASASSN-14mg_raw.txt,1
ASASSN-14mw,True,ASAS14mw_raw.txt,1
ASASSN-15aj,True,ASAS15aj_raw.txt,1
ASASSN-15as,True,ASAS15as_raw.txt,1
ASASSN-15ba,True,ASAS15ba_raw.txt,1
ASASSN-15be,True,ASAS15be_raw.txt,1
ASASSN-15bm,True,ASAS15bm_raw.txt,1
ASASSN-15da,True,ASAS15da_raw.txt,1
ASASSN-15db,True,ASAS15db_raw.txt,1
ASASSN-15fr,True,ASAS15fr_raw.txt,1
ASASSN-15go,True,ASAS15go_raw.txt,1
ASASSN-15hf,True,ASAS15hf_raw.txt,1
ASASSN-15hg,True,ASAS15hg_raw.txt,1
ASASSN-15hx,True,ASAS15hx_raw.txt,1
CSP12G,True,CSP12G_raw.txt,1
CSP12J,True,CSP12J_raw.txt,1
CSP12N,True,CSP12N_raw.txt,1
CSP13Q,True,CSP13Q_raw.txt,1
CSP13V,True,CSP13V_raw.txt,1
CSP13aad,True,CSP13aad_raw.txt,1
CSP13aaf,True,CSP13aaf_raw.txt,1
CSP13aam,True,CSP13aam_raw.txt,1
CSP13aao,True,CSP13aao_raw.txt,1
