sample_sn,has_snoopy_txt,matched_txt_files,n_matched_files
ASASSN-13cj,False,,0
ASASSN-13cp,False,,0
ASASSN-14ba,False,,0
ASASSN-14db,False,,0
ASASSN-14dz,False,,0
ASASSN-14lv,False,,0
ASASSN-15ho,False,,0
CSS130317:082848+293031,False,,0
LSQ12dbr,False,,0
LSQ14aeg,False,,0
LSQ14gde,False,,0
PS15mb,False,,0
PSNJ07250042+2347030,False,,0
PTF12iiq,False,,0
PTF12jgb,False,,0
SN1968I,False,,0
SN1991bj,False,,0
SN1995Y,False,,0
SN1997de,False,,0
SN2000do,False,,0
SN2000dx,False,,0
SN2000ey,False,,0
SN2004cs,False,,0
SN2004fd,False,,0
SN2005cf_B,False,,0
SN2008ee,False,,0
SN2009ev,False,,0
SN2009mz,False,,0
SN2010jo,False,,0
SN2011ce,False,,0
SN2011jq,False,,0
SN2012ec,False,,0
SN2012fw,False,,0
SN2012he,False,,0
SN2013da,False,,0
SN2013dl,False,,0
SN2013ef,False,,0
SN2013gr,False,,0
SN2013hk,False,,0
SN2014bz,False,,0
SN2014cr,False,,0
SN2014ey,False,,0
SN2016gwl,False,,0
SN2017hgz,False,,0
SN2018hnq,False,,0
SN2019fkq,False,,0
SN2022wsp,False,,0
SNF20080612-003,False,,0
iPTF14hvh,False,,0
