sample_sn,status,tns_name_full,tns_name,tns_prefix,tns_type,tns_redshift,tns_discoverydate,tns_internal_names,ztf_aliases,atlas_aliases,n_candidate_tns_rows,sep_arcsec_if_coord_resolved
SN2014ey,matched,SN2014ey,2014ey,SN,SN Iax[02cx-like],0.03197,2014-04-24 05:40:05.000,iPTF14ans,,,1,
SN2016ecm,matched,AT2016ecm,2016ecm,AT,,,2016-05-23 04:10:33.000,Gaia16aqg,,,1,
SN2016gwl,matched,SN2016gwl,2016gwl,SN,SN Ia,0.009,2016-10-02 22:09:07.000,"Gaia16bkz, PS16fja",,,1,
SN2016jhr,matched,SN2016jhr,2016jhr,SN,SN Ia,,2016-04-04 08:23:59.000,MUSSES1604D,,,1,
SN2017cyy,matched,SN2017cyy,2017cyy,SN,SN Ia,0.0098,2017-04-12 18:02:52.000,"DLT17ar, Gaia17bei",,,1,
SN2017dps,matched,SN2017dps,2017dps,SN,SN Ia,0.012,2017-05-01 06:28:48.000,"ASASSN-17fr, Gaia17chp",,,1,
SN2017hgz,matched,SN2017hgz,2017hgz,SN,SN Ia,0.016,2017-10-10 00:28:48.000,"ASASSN-17ng, Gaia17dab",,,1,
SN2018agk,matched,SN2018agk,2018agk,SN,SN Ia,0.026128,2018-03-10 19:06:06.000,"C17-0010, PS18mr, ATLAS18mvb",,ATLAS18mvb,1,
SN2018djd,matched,SN2018djd,2018djd,SN,SN Ia,0.026385,2018-07-12 08:23:59.000,ASASSN-18pb,,,1,
SN2018hnq,matched,AT2018hnq,2018hnq,AT,,,2018-10-23 06:38:52.000,Gaia18ddp,,,1,
SN2018oh,matched,SN2018oh,2018oh,SN,SN Ia,0.012,2018-02-04 11:45:36.000,"ASASSN-18bt, ATLAS18lwy, PS18gr, Gaia18awj",,ATLAS18lwy,1,
SN2018xx,matched,SN2018xx,2018xx,SN,SN Ia,,2018-02-21 09:10:04.000,"DLT18h, ATLAS18mhq, Gaia18blg",,ATLAS18mhq,1,
SN2018zz,matched,SN2018zz,2018zz,SN,SN Ia,0.0138,2018-03-03 22:04:48.000,"ASASSN-18en, ATLAS18mlg, Gaia18ari",,ATLAS18mlg,1,
SN2019fkq,matched,SN2019fkq,2019fkq,SN,SN Ia,0.045,2019-05-14 09:11:31.000,"Gaia19bul, PS19dxu",,,1,
SN2020ejm,matched,SN2020ejm,2020ejm,SN,SN Ia,0.009757,2020-03-11 05:42:35.424,DLT20h,,,1,
SN2020xyw,matched,SN2020xyw,2020xyw,SN,SN Ia,0.010814,2020-10-22 16:41:01.824,"DLT20q, Gaia20fjh",,,1,
SN2021abze,matched,SN2021abze,2021abze,SN,SN II,0.0148,2021-10-22 09:59:02.400,"ATLAS21bkkb, ZTF21aciluqg, PS21njx",ZTF21aciluqg,ATLAS21bkkb,1,
SN2021acnt,matched,SN2021acnt,2021acnt,SN,SN Ia,0.008,2021-10-26 14:52:48.000,"ATLAS21bkpo, Gaia21faf, MASTER OT J094142.83-281209.2, PS21nca",,ATLAS21bkpo,1,
SN2021adlr,matched,SN2021adlr,2021adlr,SN,SN II,0.029635,2021-11-04 10:46:33.600,"ATLAS21blqk, ZTF21aclcfej, PS21mgm, Gaia21ftd",ZTF21aclcfej,ATLAS21blqk,1,
SN2021adxd,matched,SN2021adxd,2021adxd,SN,SN IIP,0.017522,2021-11-06 05:55:40.800,"ZTF21aclmgzk, ATLAS21blvx, PS21mro",ZTF21aclmgzk,ATLAS21blvx,1,
SN2021aess,matched,SN2021aess,2021aess,SN,SN IIn-pec,0.007,2021-11-14 06:33:54.720,"ZTF21acpkzcc, ATLAS21bmog, Gaia21frh, PS23end",ZTF21acpkzcc,ATLAS21bmog,1,
SN2021afkk,matched,SN2021afkk,2021afkk,SN,SN II,0.0138,2021-11-25 08:54:14.400,"ATLAS21bmvp, PS22pv, ZTF22aaagxir",ZTF22aaagxir,ATLAS21bmvp,1,
SN2021agbn,matched,SN2021agbn,2021agbn,SN,SN II,0.01474,2021-12-03 08:45:36.000,"ATLAS21bnbr, Gaia21fqg, PS22b",,ATLAS21bnbr,1,
SN2022crr,matched,SN2022crr,2022crr,SN,SN Ic-BL,0.0188,2022-02-18 02:35:23.424,"ATLAS22gcd, ZTF22aabgazg, PS22byi",ZTF22aabgazg,ATLAS22gcd,1,
SN2022crv,matched,SN2022crv,2022crv,SN,SN Ib,0.008091,2022-02-19 04:30:59.616,"DLT22d, ATLAS22gdi, Gaia22bvp",,ATLAS22gdi,1,
SN2022epu,matched,SN2022epu,2022epu,SN,SN Ic,0.031,2022-03-09 11:32:23.712,ATLAS22ivc,,ATLAS22ivc,1,
SN2022wsp,matched,SN2022wsp,2022wsp,SN,SN II,0.007318,2022-10-02 23:59:19.392,"DLT22q, ATLAS22bhvs, PS22knl",,ATLAS22bhvs,1,
ASASSN-13cj,not_in_tns,,,,,,,,,,0,
ASASSN-13cp,not_in_tns,,,,,,,,,,0,
ASASSN-14ba,not_in_tns,,,,,,,,,,0,
ASASSN-14cu,not_in_tns,,,,,,,,,,0,
ASASSN-14db,not_in_tns,,,,,,,,,,0,
ASASSN-14dd,not_in_tns,,,,,,,,,,0,
ASASSN-14dz,not_in_tns,,,,,,,,,,0,
ASASSN-14lv,not_in_tns,,,,,,,,,,0,
ASASSN-14mg,not_in_tns,,,,,,,,,,0,
ASASSN-15ho,not_in_tns,,,,,,,,,,0,
CSS130317:082848+293031,not_in_tns,,,,,,,,,,0,
LSQ12dbr,not_in_tns,,,,,,,,,,0,
LSQ14aeg,not_in_tns,,,,,,,,,,0,
LSQ14gde,not_in_tns,,,,,,,,,,0,
PS15mb,not_in_tns,,,,,,,,,,0,
PSNJ07250042+2347030,not_in_tns,,,,,,,,,,0,
PTF12iiq,not_in_tns,,,,,,,,,,0,
PTF12jgb,not_in_tns,,,,,,,,,,0,
SN1968I,not_in_tns,,,,,,,,,,0,
SN1991bj,not_in_tns,,,,,,,,,,0,
SN1995Y,not_in_tns,,,,,,,,,,0,
SN1997de,not_in_tns,,,,,,,,,,0,
SN2000do,not_in_tns,,,,,,,,,,0,
SN2000dx,not_in_tns,,,,,,,,,,0,
SN2000ey,not_in_tns,,,,,,,,,,0,
SN2004cs,not_in_tns,,,,,,,,,,0,
SN2004fd,not_in_tns,,,,,,,,,,0,
SN2005cf_B,not_in_tns,,,,,,,,,,0,
SN2008ee,not_in_tns,,,,,,,,,,0,
SN2009ev,not_in_tns,,,,,,,,,,0,
SN2009mz,not_in_tns,,,,,,,,,,0,
SN2010jn,not_in_tns,,,,,,,,,,0,
SN2010jo,not_in_tns,,,,,,,,,,0,
SN2011ce,not_in_tns,,,,,,,,,,0,
SN2011jq,not_in_tns,,,,,,,,,,0,
SN2012ec,not_in_tns,,,,,,,,,,0,
SN2012fw,not_in_tns,,,,,,,,,,0,
SN2012he,not_in_tns,,,,,,,,,,0,
SN2013da,not_in_tns,,,,,,,,,,0,
SN2013dl,not_in_tns,,,,,,,,,,0,
SN2013ef,not_in_tns,,,,,,,,,,0,
SN2013gr,not_in_tns,,,,,,,,,,0,
SN2013hk,not_in_tns,,,,,,,,,,0,
SN2014bz,not_in_tns,,,,,,,,,,0,
SN2014cr,not_in_tns,,,,,,,,,,0,
SN2014dm,not_in_tns,,,,,,,,,,0,
SNF20080612-003,not_in_tns,,,,,,,,,,0,
iPTF14hvh,not_in_tns,,,,,,,,,,0,
