cubename,zalpha,zbeta,zoiii,zobs,zhelio,ezhelio,zcmb,notes
SN2008hj,0.037534,0.037655,0.037549,0.037579,0.037675,0.000200,0.036488,
SN2006ej,0.020472,0.020479,0.020551,0.020501,0.020596,0.000194,0.019471,
SN2006et,0.022561,0.022608,0.022607,0.022592,0.022676,0.000192,0.021676,
SN2006gt,0.044791,0.044735,0.044846,0.044791,0.044887,0.000198,0.043739,
SN2007mm,0.066427,0.066461,0.066581,0.066490,0.066586,0.000205,0.065437,
SN2006hx,0.045425,0.045494,0.045422,0.045447,0.045540,0.000194,0.044433,
SN2005ir,0.076158,0.076231,0.076208,0.076199,0.076290,0.000194,0.075158,
SN2005hj,0.057341,0.057427,0.057402,0.057390,0.057485,0.000195,0.056409,
SN2007ol,0.055975,0.055995,0.056102,0.056024,0.056121,0.000201,0.055077,
CSP13aad,0.086642,0.086784,0.086742,0.086723,0.086749,0.000203,0.086500,
SN2006fw,0.083481,0.083558,0.083483,0.083507,0.083595,0.000194,0.082558,
SN2006ob,0.059027,0.059146,0.059145,0.059106,0.059203,0.000200,0.058205,
SN2005hc,0.045881,0.045886,0.045885,0.045884,0.045978,0.000190,0.045012,
CSP13Q,0.089076,0.089081,0.089080,0.089079,0.089107,0.000190,0.088852,
SN2006ef,0.017713,0.017969,0.017788,0.017823,0.017916,0.000229,0.017037,
SN2007hx,0.079151,0.079178,0.078999,0.079109,0.079205,0.000210,0.078248,
LSQ13dhj,0.093429,0.093522,0.093375,0.093442,0.093509,0.000204,0.092855,
SN2006ot,0.053632,0.053739,0.053696,0.053689,0.053773,0.000198,0.052985,
SN2012E,nan,nan,nan,0.020300,0.020399,0.001000,0.019584,
LSQ12hnx,0.156405,0.156466,0.156427,0.156433,0.156505,0.000193,0.155825,
SN2005lu,0.032011,0.032068,0.031888,0.031989,0.032060,0.000211,0.031345,
LSQ12gzm,0.100036,0.100160,0.100157,0.100118,0.100184,0.000200,0.099598,
SN2009I,0.026077,0.026146,0.026107,0.026110,0.026202,0.000194,0.025464,
SN2007so,0.029366,0.029368,0.029368,0.029367,0.029464,0.000190,0.028704,
SN2006os,0.033156,0.033316,0.033190,0.033221,0.033315,0.000207,0.032585,
SN2005gj,0.061673,0.061777,0.061532,0.061661,0.061755,0.000226,0.061052,
LSQ13dkp,0.069086,0.069127,0.069122,0.069111,0.069172,0.000192,0.068734,
LSQ12hxx,0.069320,0.069306,0.069304,0.069310,0.069382,0.000191,0.068904,
LSQ13dsm,0.042543,0.042587,0.042609,0.042580,0.042651,0.000193,0.042240,
SN2009D,0.025116,0.025214,0.025053,0.025128,0.025201,0.000207,0.024856,
LSQ12hzs,0.072068,0.072088,0.072040,0.072065,0.072134,0.000192,0.071852,
CSP13aaq,0.059752,0.059737,0.059675,0.059722,0.059735,0.000194,0.059747,
SN2014cd,0.020796,0.020567,0.020756,0.020706,0.020739,0.000222,0.020697,
LSQ13dcy,0.079746,0.079996,0.079992,0.079911,0.079985,0.000228,0.079950,
SN2006is,0.031261,0.031292,0.031291,0.031281,0.031338,0.000191,0.031428,
LSQ12ca,0.098609,0.098632,0.098796,0.098679,0.098752,0.000212,0.098913,
SN2013az,0.037146,0.037135,0.037160,0.037147,0.037191,0.000191,0.037410,
CSP14aar,0.041959,0.042027,0.041938,0.041974,0.041976,0.000196,0.042200,
CSP13aao,0.061467,0.061509,0.061465,0.061480,0.061486,0.000192,0.061746,
CSP14aaq,0.036518,0.036535,0.036509,0.036521,0.036518,0.000191,0.036790,
CSP13abl,0.039991,0.040072,0.040005,0.040023,0.040006,0.000195,0.040274,
SN2005na,0.026318,0.026366,0.026385,0.026356,0.026258,0.000193,0.026783,
SN2004gs,0.027585,0.027613,0.027521,0.027573,0.027488,0.000196,0.028384,
SN2006lu,0.053298,0.053324,0.053183,0.053268,0.053209,0.000203,0.054297,
