snname,cubename,sem,rasn,decsn,sntype,notes
               SN2008hj,                SN2008hj, P95  ,00:04:01.910 ,-11:10:07.50  ,Ia      ,
               SN2006ej,                SN2006ej, P95  ,00:38:59.770 ,-09:00:56.59  ,Ia      ,JOINED WITH ONE FROM THE ARXIV 
               SN2006et,                SN2006et, P95  ,00:42:45.821 ,-23:33:30.38  ,Ia      ,MUSE-DEEP JOINING 7 OF THE 8 POINTINGS
               SN2006gt,                SN2006gt, P95  ,00:56:17.299 ,-01:37:45.98  ,Ia-91bg ,
               SN2007mm,                SN2007mm, P95  ,01:05:46.670 ,-00:45:31.79  ,Ia-86G  ,
               SN2006hx,                SN2006hx, P95  ,01:13:57.310 ,+00:22:18.01  ,Ia      ,
               SN2005ir,                SN2005ir, P95  ,01:16:43.759 ,+00:47:40.42  ,Ia      ,
               SN2005hj,                SN2005hj, P95  ,01:26:48.269 ,-01:14:16.80  ,Ia      ,
               SN2007ol,                SN2007ol, P95  ,01:37:23.700 ,-00:18:43.20  ,Ia      ,
               CSP13aad,                CSP13aad, P95  ,01:46:09.34  ,-67:28:00.10  ,Ia      ,
               SN2006fw,                SN2006fw, P95  ,01:47:10.339 ,-00:08:49.20  ,Ia      ,
               SN2006ob,                SN2006ob, P95  ,01:51:48.110 ,+00:15:48.31  ,Ia      ,
               SN2005hc,                SN2005hc, P95  ,01:56:47.940 ,-00:12:49.21  ,Ia      ,
                 CSP13Q,                  CSP13Q, P95  ,02:02:21.56  ,-65:44:08.66  ,Ia      ,REREDUCED JOINING 6 OF THE 8 POINTINGS
               SN2006ef,                SN2006ef, P95  ,02:04:19.510 ,-08:43:42.20  ,Ia      ,
               SN2025yn,                SN2006ef, P95  ,02:04:18.708 ,-08:44:27.35  ,II      ,
               SN2007hx,                SN2007hx, P95  ,02:06:27.079 ,-00:53:58.31  ,Ia      ,
               LSQ13dhj,                LSQ13dhj, P95  ,02:12:34.48  ,-37:20:22.81  ,Ia      ,
               SN2006ot,                SN2006ot, P95  ,02:15:04.841 ,-20:45:58.21  ,Ia-06bt ,
                SN2012E,                 SN2012E, P95  ,02:33:22.790 ,+09:35:05.60  ,Ia      ,126; 36 CREATED MANUALLY -- BAD
               LSQ12hnx,                LSQ12hnx, P95  ,02:35:17.81  ,-30:57:49.48  ,Ia      ,NO LC 
               SN2005lu,                SN2005lu, P95  ,02:36:03.710 ,-17:15:50.00  ,Ia      ,I CHANGED THE HOST WITH RESPECT KRISCIUNAS 2017
               LSQ12gzm,                LSQ12gzm, P95  ,02:40:43.61  ,-34:44:25.87  ,Ia      ,104;160 CREATED MANUALLY -- BAD 
                SN2009I,                 SN2009I, P95  ,02:45:10.399 ,-04:42:49.39  ,Ia      ,
               SN2007so,                SN2007so, P95  ,02:47:43.130 ,+13:15:14.80  ,Ia      ,
               SN2006os,                SN2006os, P95  ,02:55:01.010 ,+16:00:34.81  ,Ia      ,6 POINTINGS AVAILABLE BUT WE KEPT THE 4 POINTINGS WITH BETTER SEEING
               SN2005gj,                SN2005gj, P95  ,03:01:11.950 ,-00:33:13.90  ,Ia-CSM  ,NO LC
               LSQ13dkp,                LSQ13dkp, P95  ,03:10:09.97  ,-36:37:44.91  ,Ia      ,216;235 CREATED MANUALLY -- BAD 
               LSQ12hxx,                LSQ12hxx, P95  ,03:19:44.23  ,-27:00:25.68  ,Ia      ,
               LSQ13dsm,                LSQ13dsm, P95  ,03:33:12.83  ,-26:12:24.02  ,Ia      ,
                SN2009D,                 SN2009D, P95  ,03:54:22.829 ,-19:10:54.19  ,Ia      ,
               LSQ12hzs,                LSQ12hzs, P95  ,04:01:53.21  ,-26:39:50.15  ,Ia      ,
               CSP13aaq,                CSP13aaq, P95  ,04:19:47.21  ,-63:43:22.04  ,Ia      ,151;153 CREATED MANUALLY -- BAD
               SN2014cd,                SN2014cd, P95  ,04:23:47.191 ,-51:36:02.92  ,Ia      ,
               SN2013fz,                SN2014cd, P95  ,04:23:46.440 ,-51:35:46.28  ,Ia-91T  ,
             SN2025absv,                SN2014cd, P95  ,04:23:47.254 ,-51:36:09.11  ,IIP     ,
               LSQ13dcy,                LSQ13dcy, P95  ,04:55:16.42  ,-20:00:05.40  ,Ia      ,
               SN2006is,                SN2006is, P95  ,05:17:34.370 ,-23:46:54.19  ,Ia      ,140;158 CREATED MANUALLY -- BAD 
                LSQ12ca,                 LSQ12ca, P95  ,05:31:03.62  ,-19:47:59.28  ,Ia-91T  ,
               SN2013az,                SN2013az, P95  ,05:39:52.130 ,-40:30:28.12  ,Ia      ,
               CSP14aar,                CSP14aar, P95  ,05:48:23.49  ,-66:47:29.70  ,Ia      ,
               CSP13aao,                CSP13aao, P95  ,05:58:30.38  ,-63:33:38.30  ,Ia      ,
               CSP14aaq,                CSP14aaq, P95  ,06:13:48.04  ,-67:55:15.00  ,Ia-pec  ,
               CSP13abl,                CSP13abl, P95  ,06:38:06.97  ,-75:43:37.21  ,Ia      ,
               SN2005na,                SN2005na, P95  ,07:01:36.619 ,+14:07:59.70  ,Ia      ,
               SN2004gs,                SN2004gs, P95  ,08:38:23.179 ,+17:37:39.79  ,Ia      ,
               SN2006lu,                SN2006lu, P95  ,09:15:17.630 ,-25:36:00.29  ,Ia      ,
                SN2005M,                 SN2005M, P95  ,09:37:32.359 ,+23:12:02.70  ,Ia-91T  ,SDSS OBJID problem
               SN2008bc,                SN2008bc, P95  ,09:38:31.229 ,-63:58:25.61  ,Ia      ,
               SN2007al,                SN2007al, P95  ,09:59:18.480 ,-19:28:25.79  ,Ia-91bg ,MUSE-DEEP JOINING 8 POINTINGS
                SN2007S,                 SN2007S, P95  ,10:00:31.260 ,+04:24:26.21  ,Ia-91T  ,
               LSQ12agq,                LSQ12agq, P95  ,10:17:41.67  ,-07:24:54.45  ,Ia      ,
               LSQ12aor,                LSQ12aor, P95  ,10:55:17.64  ,-14:18:01.38  ,Ia      ,MUSE-DEEP AVAILABLE (8 POINTINGS); BUT WE KEPT THE 4 POINTINGS WITH BETTER SEEING
               LSQ12hvj,                LSQ12hvj, P95  ,11:07:38.62  ,-29:42:40.96  ,Ia-91T  ,
               SN2007bc,                SN2007bc, P95  ,11:19:14.570 ,+20:48:32.51  ,Ia      ,
