sn_name,cubename,sn_ra_deg,sn_dec_deg,sn_type,sem,notes,obs_id,target_name,proposal_id,proposal_pi,instrument_name,filters,sep_arcsec,t_exptime,calib_level,t_min,t_max,obs_title
ASASSN-14co,ASASSN-14co,239.37462499999998,1.1093722222222222,Ia      ,P96  ,NO LC,hst_14779_68_wfc3_uvis_f275w_id7668,ASASSN-14CO,14779,"Graham, Melissa Lynn",WFC3/UVIS,F275W,8.058722898730689e-10,858.0,3,57997.79801217,57997.80949345,
ASASSN-14dp,ASASSN-14dp,170.49354166666663,-37.90680555555556,II      ,P96  ,,iebj04010,ASASSN-14DP-HOST,16287,"Lyman, Joseph",WFC3/UVIS,F275W,5.1631181544515545,1650.0,3,59436.91258452546,59436.936033564816,A public UV snapshot survey of core-collapse supernova hosts in IF
ASASSN-14dq,ASASSN-14dq,329.4998749999999,24.268916666666666,II      ,P103 ,,hst_16287_cz_wfc3_uvis_f275w_iebjcz,ASASSN-14DQ-HOST,16287,"Lyman, Joseph",WFC3/UVIS,F275W,6.7046376025539764,1650.0,3,59135.76626422,59135.78971327,
ASASSN-14eu,ASASSN-14eu,225.15349999999998,-3.8469200000000003,Ia-02cx ,P96  ,JOINED WITH P102. SN IN THE P102 FoV,hst_14779_02_wfc3_uvis_f275w_id7602,ASASSN-14EU,14779,"Graham, Melissa Lynn",WFC3/UVIS,F275W,0.011999998803215057,858.0,3,57869.23660827,57869.24808991,
ASASSN-14ew,ASASSN-14ew,305.5036666666666,-51.79625,Ia      ,P96  ,NO LC,hst_14779_54_wfc3_uvis_f275w_id7654,ASASSN-14EW,14779,"Graham, Melissa Lynn",WFC3/UVIS,F275W,0.42154180967974975,858.0,3,57846.0074641,57846.01894537,
ASASSN-14ha,NGC1566,65.00589999999998,-54.9381,II      ,arx  ,PHANGS      ,hst_13364_17_wfc3_uvis_f275w_icdm17,NGC1566,13364,"Calzetti, Daniela",WFC3/UVIS,F275W,8.341335802063934,2382.0,3,56538.66866316,56538.69936925,
ASASSN-14iz,ASASSN-14iz,305.4576666666666,-31.285216666666667,II      ,P96  ,,hst_16287_11_wfc3_uvis_f275w_iebj11,ASASSN-14IZ-HOST,16287,"Lyman, Joseph",WFC3/UVIS,F275W,26.00867395421047,1650.0,3,59481.41742443,59481.44087348,
ASASSN-14ko,ASASSN-14ko,81.32554166666667,-46.00565,IIn     ,P96  ,,hst_16287_02_wfc3_uvis_f275w_iebj02,ASASSN-14KO-HOST,16287,"Lyman, Joseph",WFC3/UVIS,F275W,8.350596198643424e-09,1650.0,3,59445.17131238,59445.19476106,
ASASSN-14li,ASASSN-14li,192.0634583333333,17.77395,TDE     ,P96  ,,hst_skycell-p1724x13y10_wfc3_uvis_f275w_all,ASASSN-14LI,,,WFC3/UVIS,F275W,1.1419303780687748e-07,1160.0,3,57027.98371338,57382.2365226,
ASASSN-14ma,ASASSN-14ma,358.7880375,10.215058333333333,II      ,P103 ,,hst_16287_dm_wfc3_uvis_f275w_iebjdm,ASASSN-14MA-HOST,16287,"Lyman, Joseph",WFC3/UVIS,F275W,1.1999596702225556e-08,1650.0,3,59450.71286312,59450.73631217,
ASASSN-15bd,ASASSN-15bd,238.6597083333333,16.610572222222224,IIb     ,P103 ,COMBINED 5 POINTINGS,hst_16287_cl_wfc3_uvis_f275w_iebjcl,ASASSN-15BD-HOST,16287,"Lyman, Joseph",WFC3/UVIS,F275W,23.17099101817805,1650.0,3,59483.18906776,59483.21251681,
ASASSN-15fi,ASASSN-15fi,247.9533333333333,20.41069444444444,II      ,P103 ,,hst_16287_cn_wfc3_uvis_f275w_iebjcn,ASASSN-15FI-HOST,16287,"Lyman, Joseph",WFC3/UVIS,F275W,1.1342254435019805e-07,1500.0,3,59482.33014406,59482.35185718,
ASASSN-15fz,ASASSN-15fz,203.85474999999997,1.4091666666666667,II      ,P103 ,COMBINED 5 POINTINGS ,hst_16287_by_wfc3_uvis_f275w_iebjby,ASASSN-15FZ-HOST,16287,"Lyman, Joseph",WFC3/UVIS,F275W,10.560509173910818,1650.0,3,59319.82885957,59319.85230862,
ASASSN-15hs,ASASSN-15hs,233.3929583333333,-78.12319444444444,IIn     ,P103 ,,hst_16287_ci_wfc3_uvis_f275w_iebjci,ASASSN-15HS-HOST,16287,"Lyman, Joseph",WFC3/UVIS,F275W,2.7164764775785177,1650.0,3,59343.86833976,59343.89178881,
ASASSN-15hy,ASASSN-15hy,302.5097916666666,-0.7392527777777778,Ia-03fg ,P99  ,,hst_14779_08_wfc3_uvis_f275w_id7608,ASASSN-15HY,14779,"Graham, Melissa Lynn",WFC3/UVIS,F275W,0.010000000000742984,858.0,3,57848.20225558,57848.21373722,
ASASSN-15jp,ASASSN-15jp,152.91245833333332,-31.65111111111111,II      ,P103 ,,hst_16287_bk_wfc3_uvis_f275w_iebjbk,ASASSN-15JP-HOST,16287,"Lyman, Joseph",WFC3/UVIS,F275W,50.48378003447515,1500.0,3,59159.17016534,59159.19074402,
ASASSN-15kj,ASASSN-15kj,29.548041666666666,-39.54713888888889,Ic      ,P103 ,4 pointings with bad seeing not used,hst_16287_av_wfc3_uvis_f275w_iebjav,ASASSN-15KJ-HOST,16287,"Lyman, Joseph",WFC3/UVIS,F275W,17.2662675034335,1650.0,3,59490.16449591,59490.23713496,
