obs_id,target_name,s_ra,s_dec,instrument_name,filters,proposal_id,proposal_pi,obs_title,t_min,t_max,t_exptime,calib_level,dataproduct_type,sep_arcsec,sn_name,cubename,sn_ra_deg,sn_dec_deg,sn_type,sem,notes
hst_14779_68_wfc3_uvis_f275w_id7668,ASASSN-14CO,239.374625,1.109372222222,WFC3/UVIS,F275W,14779,"Graham, Melissa Lynn",,57997.79801217,57997.80949345,858.0,3,image,8.058722898730689e-10,ASASSN-14co,ASASSN-14co,239.37462499999998,1.1093722222222222,Ia      ,P96  ,NO LC
hst_skycell-p1382x13y07_wfc3_uvis_f275w_all,ASASSN-14CO,239.374625,1.109372222222,WFC3/UVIS,F275W,,,,57997.79801217,57997.80949345,858.0,3,image,8.058722898730689e-10,ASASSN-14co,ASASSN-14co,239.37462499999998,1.1093722222222222,Ia      ,P96  ,NO LC
hst_skycell-p1382x14y07_wfc3_uvis_f275w_all,ASASSN-14CO,239.374625,1.109372222222,WFC3/UVIS,F275W,,,,57997.79801217,57997.80949345,858.0,3,image,8.058722898730689e-10,ASASSN-14co,ASASSN-14co,239.37462499999998,1.1093722222222222,Ia      ,P96  ,NO LC
id7668010,ASASSN-14CO,239.374625,1.109372222222,WFC3/UVIS,F275W,14779,"Graham, Melissa Lynn",A NUV Imaging Survey for Circumstellar Material in Type Ia Supernovae,57997.79801215278,57997.8094934375,858.0,3,image,8.058722898730689e-10,ASASSN-14co,ASASSN-14co,239.37462499999998,1.1093722222222222,Ia      ,P96  ,NO LC
iebj04010,ASASSN-14DP-HOST,170.493172494,-37.90540124728,WFC3/UVIS,F275W,16287,"Lyman, Joseph",A public UV snapshot survey of core-collapse supernova hosts in IF,59436.91258452546,59436.936033564816,1650.0,3,image,5.1631181544515545,ASASSN-14dp,ASASSN-14dp,170.49354166666663,-37.90680555555556,II      ,P96  ,
hst_16287_04_wfc3_uvis_f275w_iebj04,ASASSN-14DP-HOST,170.490895,-37.90364166667,WFC3/UVIS,F275W,16287,"Lyman, Joseph",,59436.91258451,59436.93603357,1650.0,3,image,13.647355476552912,ASASSN-14dp,ASASSN-14dp,170.49354166666663,-37.90680555555556,II      ,P96  ,
hst_skycell-p0521x09y11_wfc3_uvis_f275w_all,ASASSN-14DP-HOST,170.490895,-37.90364166667,WFC3/UVIS,F275W,,,,59436.91258451,59436.93603357,1650.0,3,image,13.647355476552912,ASASSN-14dp,ASASSN-14dp,170.49354166666663,-37.90680555555556,II      ,P96  ,
hst_16287_cz_wfc3_uvis_f275w_iebjcz,ASASSN-14DQ-HOST,329.4987333333,24.26737222222,WFC3/UVIS,F275W,16287,"Lyman, Joseph",,59135.76626422,59135.78971327,1650.0,3,image,6.7046376025539764,ASASSN-14dq,ASASSN-14dq,329.4998749999999,24.268916666666666,II      ,P103 ,
hst_skycell-p1841x13y20_wfc3_uvis_f275w_all,ASASSN-14DQ-HOST,329.4987333333,24.26737222222,WFC3/UVIS,F275W,,,,59135.76626422,59135.78971327,1650.0,3,image,6.7046376025539764,ASASSN-14dq,ASASSN-14dq,329.4998749999999,24.268916666666666,II      ,P103 ,
hst_skycell-p1923x10y04_wfc3_uvis_f275w_all,ASASSN-14DQ-HOST,329.4987333333,24.26737222222,WFC3/UVIS,F275W,,,,59135.76626422,59135.78971327,1650.0,3,image,6.7046376025539764,ASASSN-14dq,ASASSN-14dq,329.4998749999999,24.268916666666666,II      ,P103 ,
iebjcz010,ASASSN-14DQ-HOST,329.502958215,24.26700934237,WFC3/UVIS,F275W,16287,"Lyman, Joseph",A public UV snapshot survey of core-collapse supernova hosts in IF,59135.76626423611,59135.77262994213,1650.0,3,image,12.228487726521633,ASASSN-14dq,ASASSN-14dq,329.4998749999999,24.268916666666666,II      ,P103 ,
hst_14779_02_wfc3_uvis_f275w_id7602,ASASSN-14EU,225.1535,-3.846916666667,WFC3/UVIS,F275W,14779,"Graham, Melissa Lynn",,57869.23660827,57869.24808991,858.0,3,image,0.011999998803215057,ASASSN-14eu,ASASSN-14eu,225.15349999999998,-3.8469200000000003,Ia-02cx ,P96  ,JOINED WITH P102. SN IN THE P102 FoV
hst_skycell-p1199x17y20_wfc3_uvis_f275w_all,ASASSN-14EU,225.1535,-3.846916666667,WFC3/UVIS,F275W,,,,57869.23660827,57869.24808991,858.0,3,image,0.011999998803215057,ASASSN-14eu,ASASSN-14eu,225.15349999999998,-3.8469200000000003,Ia-02cx ,P96  ,JOINED WITH P102. SN IN THE P102 FoV
hst_skycell-p1288x06y03_wfc3_uvis_f275w_all,ASASSN-14EU,225.1535,-3.846916666667,WFC3/UVIS,F275W,,,,57869.23660827,57869.24808991,858.0,3,image,0.011999998803215057,ASASSN-14eu,ASASSN-14eu,225.15349999999998,-3.8469200000000003,Ia-02cx ,P96  ,JOINED WITH P102. SN IN THE P102 FoV
id7602010,ASASSN-14EU,225.1535,-3.846916666667,WFC3/UVIS,F275W,14779,"Graham, Melissa Lynn",A NUV Imaging Survey for Circumstellar Material in Type Ia Supernovae,57869.23660829861,57869.24808989583,858.0,3,image,0.011999998803215057,ASASSN-14eu,ASASSN-14eu,225.15349999999998,-3.8469200000000003,Ia-02cx ,P96  ,JOINED WITH P102. SN IN THE P102 FoV
hst_14779_54_wfc3_uvis_f275w_id7654,ASASSN-14EW,305.5035,-51.79619444444,WFC3/UVIS,F275W,14779,"Graham, Melissa Lynn",,57846.0074641,57846.01894537,858.0,3,image,0.42154180967974975,ASASSN-14ew,ASASSN-14ew,305.5036666666666,-51.79625,Ia      ,P96  ,NO LC
