obsID,obs_collection,dataproduct_type,obs_id,description,type,dataURI,productType,productGroupDescription,productSubGroupDescription,productDocumentationURL,project,prvversion,proposal_id,productFilename,size,parent_obsid,dataRights,calib_level,filters
26660112,HST,image,hst_14779_70_wfc3_uvis_f275w_id7670,HAP fits science image,D,mast:HST/product/hst_14779_70_wfc3_uvis_f275w_id7670_drc.fits,SCIENCE,,DRC,,HAP-SVM,DrizzlePac 3.10.0,14779,hst_14779_70_wfc3_uvis_f275w_id7670_drc.fits,423475200,87488054,PUBLIC,3,F275W
26660109,HST,image,hst_14779_70_wfc3_uvis_f275w_id7670hk,HAP fits science image,D,mast:HST/product/hst_14779_70_wfc3_uvis_f275w_id7670hk_drc.fits,SCIENCE,,DRC,,HAP-SVM,DrizzlePac 3.10.0,14779,hst_14779_70_wfc3_uvis_f275w_id7670hk_drc.fits,423469440,87488054,PUBLIC,2,F275W
26660099,HST,image,hst_14779_70_wfc3_uvis_f275w_id7670hl,HAP fits science image,D,mast:HST/product/hst_14779_70_wfc3_uvis_f275w_id7670hl_drc.fits,SCIENCE,,DRC,,HAP-SVM,DrizzlePac 3.10.0,14779,hst_14779_70_wfc3_uvis_f275w_id7670hl_drc.fits,423469440,87488054,PUBLIC,2,F275W
26660113,HST,image,hst_14779_70_wfc3_uvis_total_id7670,HAP fits science image,D,mast:HST/product/hst_14779_70_wfc3_uvis_total_id7670_drc.fits,SCIENCE,,DRC,,HAP-SVM,DrizzlePac 3.10.0,14779,hst_14779_70_wfc3_uvis_total_id7670_drc.fits,423475200,87488054,PUBLIC,3,detection
26698369,HST,image,hst_15654_26_wfc3_uvis_f275w_idxr26,HAP fits science image,D,mast:HST/product/hst_15654_26_wfc3_uvis_f275w_idxr26_drc.fits,SCIENCE,,DRC,,HAP-SVM,DrizzlePac 3.10.0,15654,hst_15654_26_wfc3_uvis_f275w_idxr26_drc.fits,393315840,87488054,PUBLIC,3,F275W
26688380,HST,image,hst_15654_26_wfc3_uvis_f275w_idxr26kr,HAP fits science image,D,mast:HST/product/hst_15654_26_wfc3_uvis_f275w_idxr26kr_drc.fits,SCIENCE,,DRC,,HAP-SVM,DrizzlePac 3.10.0,15654,hst_15654_26_wfc3_uvis_f275w_idxr26kr_drc.fits,393307200,87488054,PUBLIC,2,F275W
26688303,HST,image,hst_15654_26_wfc3_uvis_f275w_idxr26l4,HAP fits science image,D,mast:HST/product/hst_15654_26_wfc3_uvis_f275w_idxr26l4_drc.fits,SCIENCE,,DRC,,HAP-SVM,DrizzlePac 3.10.0,15654,hst_15654_26_wfc3_uvis_f275w_idxr26l4_drc.fits,393307200,87488054,PUBLIC,2,F275W
26698161,HST,image,hst_15654_26_wfc3_uvis_f275w_idxr26lh,HAP fits science image,D,mast:HST/product/hst_15654_26_wfc3_uvis_f275w_idxr26lh_drc.fits,SCIENCE,,DRC,,HAP-SVM,DrizzlePac 3.10.0,15654,hst_15654_26_wfc3_uvis_f275w_idxr26lh_drc.fits,393307200,87488054,PUBLIC,2,F275W
26698446,HST,image,hst_15654_26_wfc3_uvis_total_idxr26,HAP fits science image,D,mast:HST/product/hst_15654_26_wfc3_uvis_total_idxr26_drc.fits,SCIENCE,,DRC,,HAP-SVM,DrizzlePac 3.10.0,15654,hst_15654_26_wfc3_uvis_total_idxr26_drc.fits,393405120,87488054,PUBLIC,3,detection
89768956,HST,image,hst_16741_4i_wfc3_uvis_f275w_iepo4i,HAP fits science image,D,mast:HST/product/hst_16741_4i_wfc3_uvis_f275w_iepo4i_drc.fits,SCIENCE,Minimum Recommended Products,DRC,,HAP-SVM,DrizzlePac 3.10.0,16741,hst_16741_4i_wfc3_uvis_f275w_iepo4i_drc.fits,441866880,89768956,PUBLIC,3,F275W
