obs_id,target_name,s_ra,s_dec,instrument_name,filters,proposal_id,proposal_pi,obs_title,t_min,t_max,t_exptime,calib_level,dataproduct_type
x0a30103t,EARTH-CALIB,302.778331934459,-19.9495828908222,FOC/48,F140W;F275W,1494,"Laurance, Robin",POSITION OF SPECTROGRAPHIC FINGER AND F48 BEST FOCUSSING (FOC018),48094.94195636574,48094.955845254626,1200.0,2,image
x0a30104t,EARTH-CALIB,302.778331934459,-19.9495828908222,FOC/48,F140W;F275W,1494,"Laurance, Robin",POSITION OF SPECTROGRAPHIC FINGER AND F48 BEST FOCUSSING (FOC018),48095.00925960648,48095.02314849537,1200.0,2,image
x0a30101t,EARTH-CALIB,302.778331934459,-19.9495828908222,FOC/48,F140W;F275W,1494,"Laurance, Robin",POSITION OF SPECTROGRAPHIC FINGER AND F48 BEST FOCUSSING (FOC018),48094.807454050926,48094.82134293982,1200.0,2,image
x0a30105t,EARTH-CALIB,302.778331934459,-19.9495828908222,FOC/48,F140W;F275W,1494,"Laurance, Robin",POSITION OF SPECTROGRAPHIC FINGER AND F48 BEST FOCUSSING (FOC018),48095.07656284722,48095.09045173611,1200.0,2,image
x0a30102t,EARTH-CALIB,302.778331934459,-19.9495828908222,FOC/48,F140W;F275W,1494,"Laurance, Robin",POSITION OF SPECTROGRAPHIC FINGER AND F48 BEST FOCUSSING (FOC018),48094.874653125,48094.88854201389,1200.0,2,image
x0a30704t,HZ21,12.5206349553819,-52.1368715624003,FOC/48,F140W;F275W,1494,"Laurance, Robin",POSITION OF SPECTROGRAPHIC FINGER AND F48 BEST FOCUSSING (FOC018),48170.24020667824,48170.24546273148,454.125,2,image
if0g0o010,ASASSN-13DM-HOST,45.54556062731,15.9279495078,WFC3/UVIS,F275W,17179,"Galbany, Lluis",A public HST-UV snapshot survey of type Ia supernova host galaxies with pre-existing optical integral-field spectroscopy,60222.63030778935,60222.6526227662,1650.0,3,image
if0g01010,ASASSN-13AN-HOST,206.4014430613,-7.325488414461,WFC3/UVIS,F275W,17179,"Galbany, Lluis",A public HST-UV snapshot survey of type Ia supernova host galaxies with pre-existing optical integral-field spectroscopy,60345.1419434375,60345.16425806713,1650.0,3,image
if0g07010,ASASSN-14MF-HOST,1.226903343478,-32.43774275356,WFC3/UVIS,F275W,17179,"Galbany, Lluis",A public HST-UV snapshot survey of type Ia supernova host galaxies with pre-existing optical integral-field spectroscopy,60328.22017233796,60328.24248730324,1650.0,3,image
if0g1z010,LSQ14FMG-HOST,334.1914640401,15.35377933407,WFC3/UVIS,F275W,17179,"Galbany, Lluis",A public HST-UV snapshot survey of type Ia supernova host galaxies with pre-existing optical integral-field spectroscopy,60208.69838579861,60208.72070042824,1650.0,3,image
if0g0b010,SN2016JHR-HOST,184.5831295028,0.2552689000678,WFC3/UVIS,F275W,17179,"Galbany, Lluis",A public HST-UV snapshot survey of type Ia supernova host galaxies with pre-existing optical integral-field spectroscopy,60024.442720335646,60024.46503530093,1650.0,3,image
if0g09010,SN2021BMW-HOST,206.9150007968,-29.43452160213,WFC3/UVIS,F275W,17179,"Galbany, Lluis",A public HST-UV snapshot survey of type Ia supernova host galaxies with pre-existing optical integral-field spectroscopy,60178.37635925926,60178.398673842596,1650.0,3,image
if0g0c010,SN2021CSP-HOST,216.5922930195,5.859810659241,WFC3/UVIS,F275W,17179,"Galbany, Lluis",A public HST-UV snapshot survey of type Ia supernova host galaxies with pre-existing optical integral-field spectroscopy,60408.27187662037,60408.29419123843,1650.0,3,image
if0g15010,SN2022VQZ-HOST,12.77357697824,29.53712940826,WFC3/UVIS,F275W,17179,"Galbany, Lluis",A public HST-UV snapshot survey of type Ia supernova host galaxies with pre-existing optical integral-field spectroscopy,60223.615261493054,60223.637576469904,1650.0,3,image
if0g0z010,CSP14AAL-HOST,149.4135408705,12.55514509999,WFC3/UVIS,F275W,17179,"Galbany, Lluis",A public HST-UV snapshot survey of type Ia supernova host galaxies with pre-existing optical integral-field spectroscopy,60246.074105011576,60246.096419988426,1650.0,3,image
if0g14010,ASASSN-15HF-HOST,157.3796662798,-35.25943842463,WFC3/UVIS,F275W,17179,"Galbany, Lluis",A public HST-UV snapshot survey of type Ia supernova host galaxies with pre-existing optical integral-field spectroscopy,60246.142808715274,60246.16512369213,1650.0,3,image
if0g10010,ASASSN-15BE-HOST,43.19163728603,-34.31454819918,WFC3/UVIS,F275W,17179,"Galbany, Lluis",A public HST-UV snapshot survey of type Ia supernova host galaxies with pre-existing optical integral-field spectroscopy,60571.890482905095,60571.91279753472,1650.0,3,image
if0g0u010,ASASSN-15HO-HOST,137.3500768786,-4.724970579833,WFC3/UVIS,F275W,17179,"Galbany, Lluis",A public HST-UV snapshot survey of type Ia supernova host galaxies with pre-existing optical integral-field spectroscopy,60246.21071392361,60246.23302850695,1650.0,3,image
