Supernova,LegacySurvey_local_fits,LegacySurvey_has_phot,LegacySurvey_local_missing_phot,DES_local_fits,DES_has_phot,DES_local_missing_phot,PanSTARRS_local_fits,PanSTARRS_has_phot,PanSTARRS_local_missing_phot,SkyMapper_local_fits,SkyMapper_has_phot,SkyMapper_local_missing_phot
SN2013da,True,True,False,False,False,False,True,True,False,True,True,False
SN2013dl,True,True,False,True,True,False,True,True,False,True,True,False
SN2013ef,True,True,False,False,False,False,True,True,False,True,True,False
SN2013ex,True,True,False,False,False,False,True,True,False,True,True,False
ASASSN-13ch,True,True,False,False,False,False,True,True,False,True,True,False
ASASSN-13cj,True,True,False,False,False,False,True,True,False,True,True,False
ASASSN-13cp,True,True,False,False,False,False,True,True,False,False,False,False
ASASSN-13cu,True,True,False,False,False,False,True,True,False,True,True,False
SN2008hv,True,True,False,False,False,False,True,True,False,True,True,False
SN2013hk,False,False,False,False,False,False,True,True,False,True,True,False
ASASSN-14ba,True,True,False,False,False,False,True,True,False,True,True,False
ASASSN-14cu,True,True,False,False,False,False,True,True,False,True,True,False
ASASSN-14db,True,True,False,False,False,False,False,False,False,True,True,False
ASASSN-14dd,True,True,False,False,False,False,False,False,False,True,True,False
ASASSN-14dz,True,True,False,False,False,False,True,True,False,True,True,False
ASASSN-14fa,True,True,False,True,True,False,True,True,False,True,True,False
ASASSN-14hr,True,True,False,True,True,False,True,True,False,True,True,False
ASASSN-14hu,True,True,False,False,False,False,False,False,False,True,True,False
ASASSN-14ig,True,True,False,True,True,False,False,False,False,True,True,False
ASASSN-14jc,True,True,False,False,False,False,False,False,False,True,True,False
ASASSN-14jg,True,True,False,True,True,False,False,False,False,True,True,False
ASASSN-14kq,True,True,False,False,False,False,True,True,False,True,True,False
ASASSN-14lt,True,True,False,True,True,False,True,True,False,True,True,False
ASASSN-14lv,True,True,False,True,True,False,False,False,False,True,True,False
ASASSN-14me,True,True,False,False,False,False,False,False,False,True,True,False
ASASSN-14mf,True,True,False,False,False,False,False,False,False,True,True,False
ASASSN-14mg,True,True,False,True,True,False,True,True,False,True,True,False
ASASSN-14mw,True,True,False,False,False,False,False,False,False,True,True,False
ASASSN-15aj,True,True,False,False,False,False,False,False,False,True,True,False
ASASSN-15as,True,True,False,False,False,False,True,True,False,True,True,False
ASASSN-15ba,True,True,False,False,False,False,True,True,False,True,True,False
ASASSN-15be,True,True,False,True,True,False,False,False,False,True,True,False
ASASSN-15bm,True,True,False,False,False,False,True,True,False,True,True,False
ASASSN-15da,True,True,False,True,True,False,True,True,False,True,True,False
ASASSN-15db,True,True,False,False,False,False,True,True,False,False,False,False
ASASSN-15fr,True,True,False,False,False,False,True,True,False,True,True,False
ASASSN-15go,False,False,False,False,False,False,True,True,False,True,True,False
ASASSN-15hf,True,True,False,False,False,False,False,False,False,True,True,False
ASASSN-15hg,True,True,False,False,False,False,True,True,False,True,True,False
ASASSN-15ho,True,True,False,False,False,False,True,True,False,True,True,False
ASASSN-15hx,True,True,False,False,False,False,True,False,True,True,True,False
SN2000dx,True,True,False,False,False,False,True,True,False,True,True,False
SN2023abqf,True,True,False,False,False,False,True,True,False,True,True,False
CSP12J,True,True,False,False,False,False,False,False,False,True,True,False
CSP12N,True,True,False,False,False,False,True,True,False,True,True,False
CSP13Q,True,True,False,True,True,False,False,False,False,True,True,False
CSP13V,True,True,False,False,False,False,True,True,False,True,True,False
CSP13aad,True,True,False,False,False,False,False,False,False,True,True,False
CSP13aaf,True,True,False,False,False,False,True,True,False,True,True,False
CSP13aam,True,True,False,False,False,False,False,False,False,True,True,False
CSP13aao,True,True,False,False,False,False,False,False,False,True,True,False
CSP13aaq,True,True,False,True,True,False,False,False,False,True,True,False
CSP13aay,True,True,False,True,True,False,False,False,False,True,True,False
CSP13abl,True,True,False,False,False,False,False,False,False,False,False,False
CSP13abm,True,True,False,False,False,False,True,True,False,True,True,False
CSP14aal,True,True,False,False,False,False,True,True,False,True,True,False
CSP14aaq,True,True,False,False,False,False,False,False,False,True,True,False
CSP14aar,True,True,False,False,False,False,False,False,False,True,True,False
SN2014bz,False,False,False,False,False,False,False,False,False,True,True,False
CSP14acl,True,True,False,False,False,False,True,True,False,True,True,False
CSS121006:232854+085452,True,True,False,False,False,False,True,True,False,True,True,False
CSS121114:090202+101800,True,True,False,False,False,False,True,True,False,True,True,False
CSS130317:082848+293031,True,True,False,False,False,False,True,True,False,False,False,False
SN2020xyw,True,True,False,False,False,False,False,False,False,True,True,False
SN2003ic,True,True,False,False,False,False,True,True,False,True,True,False
SN2000ey,True,True,False,False,False,False,True,True,False,True,True,False
SN2005dm,True,True,False,True,True,False,True,True,False,True,True,False
SN2020ejm,False,False,False,False,False,False,False,False,False,True,True,False
SN2017dps,True,True,False,False,False,False,False,False,False,True,True,False
SN1999ee,True,True,False,False,False,False,False,False,False,True,True,False
KISS13j,True,True,False,False,False,False,True,True,False,True,True,False
KISS13l,True,True,False,False,False,False,True,True,False,False,False,False
KISS15n,True,True,False,False,False,False,True,True,False,False,False,False
LSQ11bk,True,True,False,False,False,False,True,True,False,True,True,False
LSQ11ot,False,False,False,False,False,False,True,True,False,True,True,False
SN2011jq,False,False,False,False,False,False,True,True,False,True,True,False
LSQ12bld,True,True,False,False,False,False,True,True,False,True,True,False
LSQ12btn,True,True,False,False,False,False,True,True,False,True,True,False
LSQ12ca,True,True,False,True,True,False,True,True,False,True,True,False
LSQ12cda,True,True,False,False,False,False,True,True,False,True,True,False
LSQ12cfx,True,True,False,False,False,False,True,True,False,True,True,False
LSQ12cid,True,True,False,False,False,False,True,True,False,True,True,False
LSQ12dbr,True,True,False,False,False,False,True,True,False,True,True,False
LSQ12fhs,True,True,False,False,False,False,True,True,False,True,True,False
LSQ12fmx,True,True,False,False,False,False,True,True,False,True,True,False
LSQ12fuk,True,True,False,False,False,False,True,True,False,True,True,False
SN2012he,True,True,False,True,True,False,False,False,False,True,True,False
LSQ12fxd,True,True,False,True,True,False,True,True,False,True,True,False
LSQ12gln,True,True,False,True,True,False,False,False,False,True,True,False
LSQ12gpw,True,True,False,True,True,False,True,True,False,True,True,False
LSQ12gxj,True,True,False,True,True,False,True,True,False,True,True,False
LSQ12gyc,True,True,False,True,True,False,True,True,False,True,True,False
LSQ12hjm,True,True,False,True,True,False,True,True,False,True,True,False
LSQ12hnx,True,True,False,True,True,False,True,True,False,True,True,False
LSQ12hvj,True,True,False,False,False,False,True,True,False,True,True,False
LSQ12hxx,True,True,False,True,True,False,True,True,False,True,True,False
LSQ12hzj,True,True,False,False,False,False,True,True,False,True,True,False
LSQ12hzs,True,True,False,True,True,False,True,True,False,True,True,False
LSQ13cmt,True,True,False,True,True,False,True,True,False,True,True,False
LSQ13crf,True,True,False,False,False,False,True,True,False,True,True,False
LSQ13cwp,True,True,False,False,False,False,True,True,False,True,True,False
LSQ13dby,True,True,False,True,True,False,False,False,False,True,True,False
LSQ13dcy,True,True,False,True,True,False,True,True,False,True,True,False
LSQ13dhj,True,True,False,True,True,False,False,False,False,True,True,False
LSQ13dkp,True,True,False,True,True,False,False,False,False,True,True,False
LSQ13dqh,True,True,False,False,False,False,True,True,False,True,True,False
LSQ13dsm,True,True,False,True,True,False,True,True,False,True,True,False
LSQ13lq,True,True,False,False,False,False,True,True,False,True,True,False
LSQ13pf,True,True,False,False,False,False,True,True,False,True,True,False
LSQ13ry,True,True,False,False,False,False,True,True,False,True,True,False
LSQ14act,True,True,False,False,False,False,True,True,False,True,True,False
LSQ14aeg,True,True,False,False,False,False,True,True,False,False,False,False
LSQ14age,True,True,False,False,False,False,True,True,False,True,True,False
