SN name,UV mag,UV abs mag,F275W-r,Adopted r survey,Adopted r mag,Adopted r abs mag,Adopted r flux,Adopted r flux err,F275W-r Best,Adopted Best survey,Adopted Best,Adopted Best abs mag,Adopted Best flux,Adopted Best flux err,LegacySurvey r mag,LegacySurvey r abs mag,LegacySurvey r flux,LegacySurvey r flux err,LegacySurvey invvar+bkg r mag,LegacySurvey invvar+bkg r abs mag,LegacySurvey invvar+bkg r flux,LegacySurvey invvar+bkg r flux err,DES r mag,DES r abs mag,DES r flux,DES r flux err,PanSTARRS r mag,PanSTARRS r abs mag,PanSTARRS r flux,PanSTARRS r flux err,SkyMapper r mag,SkyMapper r abs mag,SkyMapper r flux,SkyMapper r flux err,Paper plot candidate
SN2013da,19.190 (0.007),-15.953 (0.007),1.594,LegacySurvey,17.596 (0.226),-17.547 (0.226),91.51005739059968,19.074387199961716,1.663,PanSTARRS,17.527 (0.019),-17.617 (0.019),975.5384875406986,15.365171714446468,17.515 (0.230),-17.629 (0.230),98.64434288423791,19.35702325613835,17.596 (0.226),-17.547 (0.226),91.51005739059968,19.074387199961716,,,,,17.527 (0.019),-17.617 (0.019),975.5384875406986,15.365171714446468,17.603 (0.012),-17.540 (0.012),26251.63422567976,269.54482140488255,True
ASASSN-13cu,20.708 (0.021),-14.689 (0.021),2.248,LegacySurvey,18.460 (0.116),-16.937 (0.116),41.31377193401431,4.402134121266684,2.472,PanSTARRS,18.235 (0.015),-17.161 (0.015),508.0631425426037,6.335172809424459,18.388 (0.404),-17.008 (0.404),44.11744083939034,15.367260771584869,18.460 (0.116),-16.937 (0.116),41.31377193401431,4.402134121266684,,,,,18.235 (0.015),-17.161 (0.015),508.0631425426037,6.335172809424459,18.378 (0.015),-17.019 (0.015),15837.97910507738,206.59397830206817,True
ASASSN-14db,21.171 (0.025),-14.934 (0.025),3.010,LegacySurvey,18.161 (0.248),-17.944 (0.248),54.38451670151119,12.445157360767942,3.010,LegacySurvey,18.161 (0.248),-17.944 (0.248),54.38451670151119,12.445157360767942,18.099 (0.277),-18.006 (0.277),57.60709336099889,13.855950439967447,18.161 (0.248),-17.944 (0.248),54.38451670151119,12.445157360767942,,,,,,,,,18.099 (0.014),-18.006 (0.014),13961.5912981436,167.20319207325835,True
ASASSN-15db,15.486 (0.002),-17.919 (0.002),1.036,LegacySurvey,14.450 (0.063),-18.955 (0.063),1659.1079317355366,96.66549242689896,1.058,PanSTARRS,14.428 (0.014),-18.978 (0.014),16937.91638260971,204.93696206850353,14.380 (0.043),-19.025 (0.043),1770.2652059436834,65.25906414379882,14.450 (0.063),-18.955 (0.063),1659.1079317355366,96.66549242689896,,,,,14.428 (0.014),-18.978 (0.014),16937.91638260971,204.93696206850353,,,,,True
SN1999ee,18.765 (0.010),-14.697 (0.010),3.000,SkyMapper,15.765 (0.015),-17.697 (0.015),157897.95615284838,2106.5679294648303,3.000,SkyMapper,15.765 (0.015),-17.697 (0.015),157897.95615284838,2106.5679294648303,15.547 (0.085),-17.915 (0.085),604.1001129514254,45.43539355306202,15.589 (0.483),-17.874 (0.483),581.2712181974838,258.3786644091647,,,,,,,,,15.765 (0.015),-17.697 (0.015),157897.95615284838,2106.5679294648303,True
SN2012ec,15.342 (0.002),-16.183 (0.002),2.303,LegacySurvey,13.039 (0.170),-18.486 (0.170),6086.967962092804,952.9371652559106,2.310,PanSTARRS,13.032 (0.014),-18.493 (0.014),61264.73440390016,774.1245138554561,12.984 (0.024),-18.541 (0.024),6404.961171358352,134.54636794937687,13.039 (0.170),-18.486 (0.170),6086.967962092804,952.9371652559106,13.017 (0.006),-18.508 (0.006),6209378.972994906,32775.791493087956,13.032 (0.014),-18.493 (0.014),61264.73440390016,774.1245138554561,13.272 (0.011),-18.253 (0.011),1402268.8898273625,13461.685285564738,True
SN2017hgz,18.392 (0.006),-15.857 (0.006),2.508,LegacySurvey,15.885 (0.350),-18.365 (0.350),442.72851737980864,142.72022441624478,2.508,LegacySurvey,15.885 (0.350),-18.365 (0.350),442.72851737980864,142.72022441624478,15.825 (0.089),-18.424 (0.089),467.7256131250329,36.25108376063781,15.885 (0.350),-18.365 (0.350),442.72851737980864,142.72022441624478,,,,,,,,,15.962 (0.009),-18.288 (0.009),138424.51470385163,1096.0555037662068,True
SN2022wsp,16.354 (0.003),-16.152 (0.003),2.561,LegacySurvey,13.792 (0.133),-18.714 (0.133),3040.961590417087,371.06249511454615,2.585,PanSTARRS,13.769 (0.014),-18.737 (0.014),31080.55249882189,365.7823953948628,13.675 (0.032),-18.831 (0.032),3388.2187993921275,91.00239914679116,13.792 (0.133),-18.714 (0.133),3040.961590417087,371.06249511454615,,,,,13.769 (0.014),-18.737 (0.014),31080.55249882189,365.7823953948628,,,,,True
SN2004cs,18.510 (0.008),-15.429 (0.008),1.635,PanSTARRS,16.875 (0.016),-17.064 (0.016),1777.9906945224047,20.946775991211904,1.635,PanSTARRS,16.875 (0.016),-17.064 (0.016),1777.9906945224047,20.946775991211904,16.799 (0.202),-17.139 (0.202),190.63647586376155,29.60109698056564,16.998 (0.378),-16.941 (0.378),158.8279185563391,55.30265206708031,,,,,16.875 (0.016),-17.064 (0.016),1777.9906945224047,20.946775991211904,17.224 (0.108),-16.715 (0.108),1775.8328936046112,145.8769359654152,True
SN2005M,(23.826),(-11.334),$<2.859$,PanSTARRS,20.967 (0.055),-14.193 (0.055),41.0576740868541,1.970293766600438,$<2.859$,PanSTARRS,20.967 (0.055),-14.193 (0.055),41.0576740868541,1.970293766600438,20.812 (3.425),-14.348 (3.425),4.732288196870009,14.06224665507619,20.877 (1.673),-14.283 (1.673),4.457145742771514,6.869058626714814,,,,,20.967 (0.055),-14.193 (0.055),41.0576740868541,1.970293766600438,,,,,True
