filename,supernova,needs_revision,paper_candidate,reviewed,round2_final
ASAS14lw_plot.png,ASAS14lw,,,,good_after_round2
ASASSN-14jg_plot.png,ASASSN-14jg,True,False,True,needs_revision
ASASSN-14mg_plot.png,ASASSN-14mg,True,False,True,needs_revision
ASASSN-15be_plot.png,ASASSN-15be,True,False,True,needs_revision
CSP13V_plot.png,CSP13V,,,,good_after_round2
CSP13aaf_plot.png,CSP13aaf,,,,good_after_round2
CSP13aay_plot.png,CSP13aay,True,False,True,needs_revision
CSP14acl_plot.png,CSP14acl,,,,good_after_round2
LSQ12fmx_plot.png,LSQ12fmx,,,,good_after_round2
LSQ12gln_plot.png,LSQ12gln,,,,good_after_round2
LSQ13dby_plot.png,LSQ13dby,,,,good_after_round2
LSQ13dsm_plot.png,LSQ13dsm,True,False,True,needs_revision
LSQ14foj_plot.png,LSQ14foj,True,False,True,needs_revision
LSQ14ghv_plot.png,LSQ14ghv,True,False,True,needs_revision
LSQ15alq_plot.png,LSQ15alq,True,False,True,needs_revision
PTF10ops_plot.png,PTF10ops,,,,good_after_round2
PTF11qmo_plot.png,PTF11qmo,,,,good_after_round2
PTF14fpg_plot.png,PTF14fpg,,,,good_after_round2
PTF14gnl_plot.png,PTF14gnl,True,False,True,needs_revision
SN1986G_plot.png,SN1986G,True,False,True,needs_revision
SN2005ki_plot.png,SN2005ki,,,,good_after_round2
SN2006gt_plot.png,SN2006gt,,,,good_after_round2
SN2008cm_plot.png,SN2008cm,,,,good_after_round2
SN2009D_plot.png,SN2009D,,,,good_after_round2
SN2009ag_plot.png,SN2009ag,,,,good_after_round2
SN2009al_plot.png,SN2009al,,,,good_after_round2
SN2009ev_plot.png,SN2009ev,,,,good_after_round2
SN2009nr_plot.png,SN2009nr,,,,good_after_round2
SN2011gf_plot.png,SN2011gf,,,,good_after_round2
SN2011io_plot.png,SN2011io,,,,good_after_round2
SN2012E_plot.png,SN2012E,,,,good_after_round2
SN2012hr_plot.png,SN2012hr,,,,good_after_round2
SN2013ad_plot.png,SN2013ad,,,,good_after_round2
SN2016jhr_plot.png,SN2016jhr,,,,good_after_round2
SN2017fgc_plot.png,SN2017fgc,True,False,True,needs_revision
SN2018hnq_plot.png,SN2018hnq,True,False,True,needs_revision
SN2018xx_plot.png,SN2018xx,,,,good_after_round2
