Supernova,adopted,LegacySurvey_fits,LegacySurvey_mag,LegacySurvey_abs,LegacySurvey_flux,DES_fits,DES_mag,DES_abs,DES_flux,PanSTARRS_fits,PanSTARRS_mag,PanSTARRS_abs,PanSTARRS_flux,SkyMapper_fits,SkyMapper_mag,SkyMapper_abs,SkyMapper_flux
ASASSN-14jg,DES,True,18.158 (0.505),-15.899 (0.505),54.54365073150184,True,17.071 (0.006),-16.986 (0.006),148512.9059439599,False,,,,True,18.503 (0.029),-15.554 (0.029),11435.80181916112
ASASSN-14mg,DES,True,19.098 (0.617),-16.682 (0.617),22.955991019796564,True,17.863 (0.005),-17.917 (0.005),71596.84646034343,True,19.141 (0.017),-16.639 (0.017),220.66421179245003,True,19.263 (0.024),-16.516 (0.024),6806.239519773218
ASASSN-15be,DES,True,20.705 (3.424),-14.175 (3.424),5.222736347810606,True,18.274 (0.006),-16.607 (0.006),49032.811980276936,False,,,,True,20.586 (0.164),-14.294 (0.164),1011.3332729292462
CSP13aay,DES,True,23.551 (17.580),-13.601 (17.580),0.3798563254539019,True,20.384 (0.009),-16.768 (0.009),7023.7378766498505,False,,,,True,24.345 (1.084),-12.806 (1.084),54.34203766318686
LSQ13dsm,DES,True,20.591 (1.666),-15.805 (1.666),5.802980579085551,True,19.607 (0.007),-16.789 (0.007),14359.04377962703,True,20.664 (0.030),-15.733 (0.030),54.268120253893954,True,20.716 (0.059),-15.680 (0.059),1724.0885250700426
LSQ14foj,DES,True,24.120 (37.172),-12.455 (37.172),0.2249854668600747,True,21.166 (0.019),-15.409 (0.019),3415.8914387106383,False,,,,True,24.098 (1.011),-12.477 (1.011),70.91348384346311
LSQ14ghv,DES,True,22.910 (8.717),-14.510 (8.717),0.6852223540331471,True,22.071 (0.031),-15.349 (0.031),1484.8253076306262,True,,,,True,22.520 (0.185),-14.900 (0.185),284.7354427754426
LSQ15alq,LegacySurvey,True,18.735 (0.411),-17.881 (0.411),32.05461307817838,False,,,,True,21.085 (0.050),-15.531 (0.050),36.81716917126781,True,18.842 (0.018),-17.774 (0.018),8950.21134515165
PTF14gnl,DES,True,21.877 (4.373),-15.040 (4.373),1.7744721386966549,True,20.587 (0.011),-16.330 (0.011),5823.681819138347,True,22.043 (0.064),-14.874 (0.064),15.227764181596507,True,22.211 (0.199),-14.706 (0.199),413.3343918402829
SN1986G,LegacySurvey,True,13.200 (0.052),-16.295 (0.052),5246.028295687426,False,,,,False,,,,True,,,-886179.2647045944
SN2017fgc,DES,True,19.870 (4.259),-12.838 (4.259),11.267556757495544,True,18.332 (0.009),-14.377 (0.009),46482.41215889024,True,21.662 (0.252),-11.047 (0.252),21.64056181298478,True,(17.964),(-14.745),-230.07343600069177
SN2018hnq,DES,True,21.318 (3.405),-15.386 (3.405),2.9714520857670643,True,21.619 (0.064),-15.085 (0.064),2251.8069869323567,False,,,,True,24.045 (1.960),-12.659 (1.960),72.50053208228356
