name,fits_file,status,message,ra_deg,dec_deg,redshift,rband_survey
SN2013da,/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g01010_drc.fits,ok,,206.401,-7.32572,0.024245,LegacySurvey
SN2013dl,/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo2v010_drc.fits,ok,,19.674,-7.44436,0.017731,LegacySurvey
SN2013ef,/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo3b010_drc.fits,ok,,28.8363,6.60981,0.017251,LegacySurvey
SN2013ex,/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo01010_drc.fits,ok,,83.1942,-14.0459,0.010242,LegacySurvey
ASASSN-13ch,/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g0l010_drc.fits,ok,,244.142,-0.590939,0.016468,LegacySurvey
ASASSN-13cj,/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g0m010_drc.fits,ok,,244.296,4.55409,0.016464,LegacySurvey
ASASSN-13cp,/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo71010_drc.fits,ok,,233.455,21.1394,0.023508,LegacySurvey
ASASSN-13cu,/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g0n010_drc.fits,ok,,10.0422,-10.4405,0.02718,LegacySurvey
SN2008hv,/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo1v010_drc.fits,ok,,136.892,3.39225,0.012646,LegacySurvey
SN2013hk,/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g0o010_drc.fits,ok,,45.5452,15.9274,0.017004,PanSTARRS
ASASSN-14ba,/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g0p010_drc.fits,ok,,155.383,8.40587,0.032646,LegacySurvey
ASASSN-14cu,/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo50010_drc.fits,ok,,191.761,-24.2448,0.024727,LegacySurvey
ASASSN-14db,/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo0p010_drc.fits,ok,,330.508,-70.0406,0.037378,LegacySurvey
ASASSN-14dd,/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g0q010_drc.fits,ok,,116.31,-71.4039,0.017842,LegacySurvey
ASASSN-14dz,/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g23010_drc.fits,ok,,226.477,12.7454,0.02232,LegacySurvey
ASASSN-14fa,/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g0r010_drc.fits,ok,,43.0961,-31.8217,0.022315,LegacySurvey
ASASSN-14hr,/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo03010_drc.fits,ok,,27.672,-14.5184,0.033551,LegacySurvey
ASASSN-14hu,/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo04010_drc.fits,ok,,100.862,-69.6374,0.021634,LegacySurvey
ASASSN-14ig,/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo2p010_drc.fits,ok,,19.0206,-61.6213,0.029115,LegacySurvey
ASASSN-14jc,/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo05010_drc.fits,ok,,113.897,-62.7702,0.011124,LegacySurvey
ASASSN-14jg,/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo06010_drc.fits,ok,,353.308,-60.5699,0.014806,LegacySurvey
ASASSN-14kq,/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo08010_drc.fits,ok,,356.315,-29.7837,0.033746,LegacySurvey
ASASSN-14lt,/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo10010_drc.fits,ok,,47.7606,-13.1108,0.031894,LegacySurvey
ASASSN-14lv,/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g06010_drc.fits,ok,,353.031,-41.2699,0.049281,LegacySurvey
ASASSN-14me,/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo12010_drc.fits,ok,,21.667,-57.997,0.017868,LegacySurvey
ASASSN-14mf,/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g07010_drc.fits,ok,,1.22692,-32.4374,0.031209,LegacySurvey
ASASSN-14mg,/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g0t010_drc.fits,ok,,43.4921,-21.648,0.032295,LegacySurvey
ASASSN-14mw,/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo14010_drc.fits,ok,,25.3548,-65.617,0.026782,LegacySurvey
ASASSN-15aj,/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo15010_drc.fits,ok,,163.222,-32.9263,0.011142,LegacySurvey
ASASSN-15as,/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo16010_drc.fits,ok,,144.819,6.43015,0.028732,LegacySurvey
ASASSN-15ba,/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo17010_drc.fits,ok,,211.23,8.9207,0.023225,LegacySurvey
ASASSN-15be,/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g10010_drc.fits,ok,,43.1933,-34.3146,0.021522,LegacySurvey
ASASSN-15bm,/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo19010_drc.fits,ok,,226.465,-5.62696,0.020711,LegacySurvey
ASASSN-15da,/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo20010_drc.fits,ok,,80.9662,-24.7023,0.048994,LegacySurvey
ASASSN-15db,/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g12010_drc.fits,ok,,236.745,17.884,0.011,LegacySurvey
ASASSN-15fr,/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo22010_drc.fits,ok,,140.085,-7.64077,0.033216,LegacySurvey
ASASSN-15go,/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo23010_drc.fits,ok,,92.8771,-16.4843,0.019127,PanSTARRS
ASASSN-15hf,/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g14010_drc.fits,ok,,157.378,-35.2598,0.005938,LegacySurvey
ASASSN-15hg,/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo25010_drc.fits,ok,,148.453,9.19383,0.030008,LegacySurvey
ASASSN-15ho,/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g0u010_drc.fits,ok,,137.35,-4.72527,0.041378,LegacySurvey
ASASSN-15hx,/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo26010_drc.fits,ok,,205.82,-31.556,0.008188,LegacySurvey
