matched_snname,cubename,rasn,decsn,redshift,sample_ra_deg,sample_dec_deg,matched_in_list_snlist,sep_arcsec,snlist_snname,snlist_cubename,snlist_sem,snlist_sntype,snlist_notes,name_present_in_list,reason
SN2018agk,SN2018agk,197.651555472,-4.48574127155,0.026128,197.651555472,-4.48574127155,False,8406.699283513735,,,,,,False,object not present in list_snlist by name
SN2016jhr,SN2016jhr,184.582708,0.254828,0.117598,184.582708,0.254828,False,14448.806274935314,,,,,,False,object not present in list_snlist by name
SN2017cyy,SN2017cyy,144.150833,-63.948389,0.0098,144.150833,-63.948389,False,762.9285881941703,,,,,,False,object not present in list_snlist by name
SN2017erp,SN2017erp,227.311667,-11.334181,0.006174,227.311667,-11.334181,False,11109.854883617707,,,,,,False,object not present in list_snlist by name
SN2017fgc,SN2017fgc,20.060167,3.402767,0.008,20.060167,3.402767,False,6042.3204749929355,,,,,,False,object not present in list_snlist by name
SN2017fzw,SN2017fzw,95.395083,-27.214881,0.0054,95.395083,-27.214881,False,12777.438106035283,,,,,,False,object not present in list_snlist by name
SN2018gv,SN2018gv,121.394083,-11.438019,0.0053,121.394083,-11.438019,False,18341.72406693039,,,,,,False,object not present in list_snlist by name
SN2018oh,SN2018oh,136.664917,19.338089,0.012,136.664917,19.338089,False,7994.342991323781,,,,,,False,object not present in list_snlist by name
SN2018xx,SN2018xx,193.451125,-39.6971,0.00999,193.451125,-39.6971,False,854.2412464688679,,,,,,False,object not present in list_snlist by name
SN2018yu,SN2018yu,80.63487875,-11.4871825,0.008,80.63487875,-11.4871825,False,11991.005718445005,,,,,,False,object not present in list_snlist by name
SN2019np,SN2019np,157.341583,29.510639,0.00452,157.341583,29.510639,False,8593.426119448555,,,,,,False,object not present in list_snlist by name
SN2021abze,SN2021abze,10.8843865335,14.3427825741,0.0148,10.8843865335,14.3427825741,False,14302.103926555552,,,,,,False,object not present in list_snlist by name
SN2021acnt,SN2021acnt,145.4285,-28.202489,0.008,145.4285,-28.202489,False,11179.62760066192,,,,,,False,object not present in list_snlist by name
SN2021adlr,SN2021adlr,47.799,-8.469561,0.029635,47.799,-8.469561,False,7288.248545852149,,,,,,False,object not present in list_snlist by name
SN2021adlv,SN2021adlv,127.765958,-4.194219,0.033,127.765958,-4.194219,False,6720.103548479777,,,,,,False,object not present in list_snlist by name
SN2021adxd,SN2021adxd,9.84546011341,2.80403574116,0.017522,9.84546011341,2.80403574116,False,4639.366270431434,,,,,,False,object not present in list_snlist by name
SN2021aess,SN2021aess,53.450583,-19.4957,0.007,53.450583,-19.4957,False,11974.781299468887,,,,,,False,object not present in list_snlist by name
SN2021afkk,SN2021afkk,37.4998676863,28.6341857571,0.0138,37.4998676863,28.6341857571,False,258.1637780232779,,,,,,False,object not present in list_snlist by name
SN2021agbn,SN2021agbn,59.303542,-25.403381,0.01474,59.303542,-25.403381,False,5905.147525497142,,,,,,False,object not present in list_snlist by name
SN2021cgu,SN2021cgu,165.765458,5.098169,0.026,165.765458,5.098169,False,1539.2411252606191,,,,,,False,object not present in list_snlist by name
SN2021csp,SN2021csp,216.592143243,5.85921558693,0.083,216.592143243,5.85921558693,False,16397.576883062786,,,,,,False,object not present in list_snlist by name
SN2021dbg,SN2021dbg,141.111625,-6.581431,0.02,141.111625,-6.581431,False,5290.460118290805,,,,,,False,object not present in list_snlist by name
SN2021dov,SN2021dov,134.077958,-0.442139,0.012,134.077958,-0.442139,False,13884.51064570458,,,,,,False,object not present in list_snlist by name
SN2021gno,SN2021gno,183.042875,13.249181,0.006211,183.042875,13.249181,False,7155.043425160812,,,,,,False,object not present in list_snlist by name
SN2022crr,SN2022crr,231.204715446,-21.3893701875,0.0188,231.204715446,-21.3893701875,False,20253.04926526621,,,,,,False,object not present in list_snlist by name
SN2022crv,SN2022crv,148.607958,-25.7031,0.008091,148.607958,-25.7031,False,6594.100040971067,,,,,,False,object not present in list_snlist by name
