file,Supernova,RA(degrees),DEC(degrees),z,status,message,rband_survey,rband_filter,rband_fits_file,name,ra,dec,redshift,survey,ap_units,WFC3_UVIS_F275W_1,WFC3_UVIS_F275W_1_err,WFC3_UVIS_F275W_1_flux,WFC3_UVIS_F275W_1_flux_err,WFC3_UVIS_F275W_2,WFC3_UVIS_F275W_2_err,WFC3_UVIS_F275W_2_flux,WFC3_UVIS_F275W_2_flux_err,WFC3_UVIS_F275W_3,WFC3_UVIS_F275W_3_err,WFC3_UVIS_F275W_3_flux,WFC3_UVIS_F275W_3_flux_err,WFC3_UVIS_F275W_zeropoint,rband_name,rband_ra,rband_dec,rband_redshift,rband_ap_units,rband_r_1,rband_r_1_err,rband_r_1_flux,rband_r_1_flux_err,rband_r_2,rband_r_2_err,rband_r_2_flux,rband_r_2_flux_err,rband_r_3,rband_r_3_err,rband_r_3_flux,rband_r_3_flux_err,rband_r_zeropoint,hst_1_snr,hst_1_is_upper_limit,hst_1_flux_upper_limit,hst_1_snr_threshold,hst_1_mag_upper_limit,rband_1_snr,rband_1_is_upper_limit,rband_1_flux_upper_limit,rband_1_snr_threshold,rband_1_mag_upper_limit,hst_2_snr,hst_2_is_upper_limit,hst_2_flux_upper_limit,hst_2_snr_threshold,hst_2_mag_upper_limit,rband_2_snr,rband_2_is_upper_limit,rband_2_flux_upper_limit,rband_2_snr_threshold,rband_2_mag_upper_limit,hst_3_snr,hst_3_is_upper_limit,hst_3_flux_upper_limit,hst_3_snr_threshold,hst_3_mag_upper_limit,rband_3_snr,rband_3_is_upper_limit,rband_3_flux_upper_limit,rband_3_snr_threshold,rband_3_mag_upper_limit,distance_modulus,WFC3_UVIS_F275W_1_abs,WFC3_UVIS_F275W_2_abs,WFC3_UVIS_F275W_3_abs,hst_1_mag_upper_limit_abs,hst_2_mag_upper_limit_abs,hst_3_mag_upper_limit_abs,rband_1_mag_upper_limit_abs,rband_2_mag_upper_limit_abs,rband_3_mag_upper_limit_abs,rband_r_1_abs,rband_r_2_abs,rband_r_3_abs,rband_error,des_file,des_status,des_message,des_rband_survey,des_rband_filter,des_rband_fits_file,des_rband_name,des_rband_ra,des_rband_dec,des_rband_redshift,des_rband_ap_units,des_rband_r_1,des_rband_r_1_err,des_rband_r_1_flux,des_rband_r_1_flux_err,des_rband_r_2,des_rband_r_2_err,des_rband_r_2_flux,des_rband_r_2_flux_err,des_rband_r_3,des_rband_r_3_err,des_rband_r_3_flux,des_rband_r_3_flux_err,des_rband_r_zeropoint,des_rband_1_snr,des_rband_1_is_upper_limit,des_rband_1_flux_upper_limit,des_rband_1_snr_threshold,des_rband_1_mag_upper_limit,des_rband_2_snr,des_rband_2_is_upper_limit,des_rband_2_flux_upper_limit,des_rband_2_snr_threshold,des_rband_2_mag_upper_limit,des_rband_3_snr,des_rband_3_is_upper_limit,des_rband_3_flux_upper_limit,des_rband_3_snr_threshold,des_rband_3_mag_upper_limit,des_rband_1_mag_upper_limit_abs,des_rband_2_mag_upper_limit_abs,des_rband_3_mag_upper_limit_abs,des_rband_r_1_abs,des_rband_r_2_abs,des_rband_r_3_abs,panstarrs_file,panstarrs_status,panstarrs_message,panstarrs_rband_survey,panstarrs_rband_filter,panstarrs_rband_fits_file,panstarrs_rband_name,panstarrs_rband_ra,panstarrs_rband_dec,panstarrs_rband_redshift,panstarrs_rband_ap_units,panstarrs_rband_r_1,panstarrs_rband_r_1_err,panstarrs_rband_r_1_flux,panstarrs_rband_r_1_flux_err,panstarrs_rband_r_2,panstarrs_rband_r_2_err,panstarrs_rband_r_2_flux,panstarrs_rband_r_2_flux_err,panstarrs_rband_r_3,panstarrs_rband_r_3_err,panstarrs_rband_r_3_flux,panstarrs_rband_r_3_flux_err,panstarrs_rband_r_zeropoint,panstarrs_rband_1_snr,panstarrs_rband_1_is_upper_limit,panstarrs_rband_1_flux_upper_limit,panstarrs_rband_1_snr_threshold,panstarrs_rband_1_mag_upper_limit,panstarrs_rband_2_snr,panstarrs_rband_2_is_upper_limit,panstarrs_rband_2_flux_upper_limit,panstarrs_rband_2_snr_threshold,panstarrs_rband_2_mag_upper_limit,panstarrs_rband_3_snr,panstarrs_rband_3_is_upper_limit,panstarrs_rband_3_flux_upper_limit,panstarrs_rband_3_snr_threshold,panstarrs_rband_3_mag_upper_limit,panstarrs_rband_1_mag_upper_limit_abs,panstarrs_rband_2_mag_upper_limit_abs,panstarrs_rband_3_mag_upper_limit_abs,panstarrs_rband_r_1_abs,panstarrs_rband_r_2_abs,panstarrs_rband_r_3_abs,skymapper_file,skymapper_status,skymapper_message,skymapper_rband_survey,skymapper_rband_filter,skymapper_rband_fits_file,skymapper_rband_name,skymapper_rband_ra,skymapper_rband_dec,skymapper_rband_redshift,skymapper_rband_ap_units,skymapper_rband_r_1,skymapper_rband_r_1_err,skymapper_rband_r_1_flux,skymapper_rband_r_1_flux_err,skymapper_rband_r_2,skymapper_rband_r_2_err,skymapper_rband_r_2_flux,skymapper_rband_r_2_flux_err,skymapper_rband_r_3,skymapper_rband_r_3_err,skymapper_rband_r_3_flux,skymapper_rband_r_3_flux_err,skymapper_rband_r_zeropoint,skymapper_rband_1_snr,skymapper_rband_1_is_upper_limit,skymapper_rband_1_flux_upper_limit,skymapper_rband_1_snr_threshold,skymapper_rband_1_mag_upper_limit,skymapper_rband_2_snr,skymapper_rband_2_is_upper_limit,skymapper_rband_2_flux_upper_limit,skymapper_rband_2_snr_threshold,skymapper_rband_2_mag_upper_limit,skymapper_rband_3_snr,skymapper_rband_3_is_upper_limit,skymapper_rband_3_flux_upper_limit,skymapper_rband_3_snr_threshold,skymapper_rband_3_mag_upper_limit,skymapper_rband_1_mag_upper_limit_abs,skymapper_rband_2_mag_upper_limit_abs,skymapper_rband_3_mag_upper_limit_abs,skymapper_rband_r_1_abs,skymapper_rband_r_2_abs,skymapper_rband_r_3_abs
/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g01010_drc.fits,SN2013da,206.401,-7.32572,0.024245,ok,,LegacySurvey,r,/Users/lluisgalbany/Downloads/HST_UV/outputs/images/SN2013da/LegacySurvey/LegacySurvey_r.fits,SN2013da,206.401,-7.32572,0.024245,HST,kpc,19.1902,0.00716936,95.7945,0.632552,17.9682,0.00486447,295.197,1.32258,17.0488,0.00338202,688.45,2.14449,24.1435,SN2013da,206.401,-7.32572,0.024245,kpc,17.5148,0.229665,98.6443,20.8661,15.9944,0.113669,400.173,41.8952,14.8824,0.0647859,1114.44,66.4986,22.5,151.441,False,,3,,4.72749,False,,3,,223.197,False,,3,,9.55176,False,,3,,321.032,False,,3,,16.7588,False,,3,,35.1435,-15.9534,-17.1753,-18.0947,,,,,,,-17.6287,-19.1491,-20.2612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,3,,,,,3,,,,,,,,/Users/lluisgalbany/Downloads/HST_UV/outputs/images/SN2013da/PanSTARRS/PanSTARRS_r.fits,rband_only_ok,,PanSTARRS,r,/Users/lluisgalbany/Downloads/HST_UV/outputs/images/SN2013da/PanSTARRS/PanSTARRS_r.fits,SN2013da,206.401,-7.32572,0.024245,kpc,17.5269,0.0185084,975.538,16.6299,16.0039,0.015214,3966.98,55.5875,14.9323,0.0143921,10643.1,141.082,25.0,58.6618,False,,3,,71.3645,False,,3,,75.4395,False,,3,,,,,-17.6166,-19.1397,-20.2112,/Users/lluisgalbany/Downloads/HST_UV/outputs/images/SN2013da/SkyMapper/SkyMapper_r.fits,rband_only_ok,,SkyMapper,r,/Users/lluisgalbany/Downloads/HST_UV/outputs/images/SN2013da/SkyMapper/SkyMapper_r.fits,SN2013da,206.401,-7.32572,0.024245,kpc,17.6032,0.0120786,26251.6,292.045,16.0438,0.00896679,110390.0,911.679,15.0605,0.00826196,273050.0,2077.79,28.6511,89.8891,False,,3.0,,121.084,False,,3.0,,131.414,False,,3.0,,,,,-17.5403,-19.0997,-20.083
/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo2v010_drc.fits,SN2013dl,19.674,-7.44436,0.017731,ok,,LegacySurvey,r,/Users/lluisgalbany/Downloads/HST_UV/outputs/images/SN2013dl/LegacySurvey/LegacySurvey_r.fits,SN2013dl,19.674,-7.44436,0.017731,HST,kpc,,,1.8225,0.65733,21.8586,0.173908,8.21832,1.31637,20.4919,0.0742688,28.9357,1.97932,24.1455,SN2013dl,19.674,-7.44436,0.017731,kpc,20.0695,2.47277,9.37956,21.362,18.525,1.19329,38.9062,42.7604,17.5403,0.724461,96.3562,64.294,22.5,2.77258,True,1.97199,3,23.4083,0.439076,False,,3,,6.24317,False,,3,,0.909866,False,,3,,14.619,False,,3,,1.49868,False,,3,,34.4533,,-12.5947,-13.9614,-11.045,,,,,,-14.3838,-15.9284,-16.913,,/Users/lluisgalbany/Downloads/HST_UV/outputs/images/SN2013dl/DES/DES_r.fits,rband_only_ok,,DES,r,/Users/lluisgalbany/Downloads/HST_UV/outputs/images/SN2013dl/DES/DES_r.fits,SN2013dl,19.674,-7.44436,0.017731,kpc,,,0.0,,,,0.0,,,,0.0,,30.0,,,,3,,,,,3,,,,,3,,,,,,,,/Users/lluisgalbany/Downloads/HST_UV/outputs/images/SN2013dl/PanSTARRS/PanSTARRS_r.fits,rband_only_ok,,PanSTARRS,r,/Users/lluisgalbany/Downloads/HST_UV/outputs/images/SN2013dl/PanSTARRS/PanSTARRS_r.fits,SN2013dl,19.674,-7.44436,0.017731,kpc,20.4523,0.047311,65.9266,2.57035,18.8583,0.0253511,286.209,5.9793,17.867,0.0191074,713.18,11.2298,25.0,25.6489,False,,3,,47.8666,False,,3,,63.5078,False,,3,,,,,-14.001,-15.595,-16.5863,/Users/lluisgalbany/Downloads/HST_UV/outputs/images/SN2013dl/SkyMapper/SkyMapper_r.fits,rband_only_ok,,SkyMapper,r,/Users/lluisgalbany/Downloads/HST_UV/outputs/images/SN2013dl/SkyMapper/SkyMapper_r.fits,SN2013dl,19.674,-7.44436,0.017731,kpc,20.5828,0.132581,1648.78,201.335,18.9854,0.0614553,7179.6,406.383,17.9056,0.0349496,19411.2,624.842,28.6257,8.18921,False,,3.0,,17.6671,False,,3.0,,31.0658,False,,3.0,,,,,-13.8705,-15.4679,-16.5478
/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo3b010_drc.fits,SN2013ef,28.8363,6.60981,0.017251,ok,,LegacySurvey,r,/Users/lluisgalbany/Downloads/HST_UV/outputs/images/SN2013ef/LegacySurvey/LegacySurvey_r.fits,SN2013ef,28.8363,6.60981,0.017251,HST,kpc,21.9579,0.113838,7.50877,0.787286,20.6543,0.0686384,24.948,1.57717,18.9436,0.0214389,120.59,2.38116,24.1469,SN2013ef,28.8363,6.60981,0.017251,kpc,18.87,0.904224,28.314,23.5805,17.3225,0.435859,117.756,47.272,16.2914,0.255203,304.403,71.55,22.5,9.53754,False,,3,,1.20074,False,,3,,15.8182,False,,3,,2.49103,False,,3,,50.6434,False,,3,,4.25441,False,,3,,34.3929,-12.435,-13.7386,-15.4493,,,,,,,-15.5229,-17.0704,-18.1015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,3,,,,,3,,,,,,,,/Users/lluisgalbany/Downloads/HST_UV/outputs/images/SN2013ef/PanSTARRS/PanSTARRS_r.fits,rband_only_ok,,PanSTARRS,r,/Users/lluisgalbany/Downloads/HST_UV/outputs/images/SN2013ef/PanSTARRS/PanSTARRS_r.fits,SN2013ef,28.8363,6.60981,0.017251,kpc,18.8926,0.054474,277.318,12.0232,17.3529,0.0290963,1145.07,26.5168,16.3114,0.0202768,2988.35,48.2261,25.0,23.0652,False,,3,,43.1828,False,,3,,61.9654,False,,3,,,,,-15.5003,-17.04,-18.0815,/Users/lluisgalbany/Downloads/HST_UV/outputs/images/SN2013ef/SkyMapper/SkyMapper_r.fits,rband_only_ok,,SkyMapper,r,/Users/lluisgalbany/Downloads/HST_UV/outputs/images/SN2013ef/SkyMapper/SkyMapper_r.fits,SN2013ef,28.8363,6.60981,0.017251,kpc,19.7626,0.798638,224.095,164.838,17.7439,0.250313,1438.59,331.661,16.6912,0.143513,3793.15,501.381,25.6387,1.35948,False,,3.0,,4.33752,False,,3.0,,7.5654,False,,3.0,,,,,-14.6303,-16.649,-17.7017
/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo01010_drc.fits,SN2013ex,83.1942,-14.0459,0.010242,ok,,LegacySurvey,r,/Users/lluisgalbany/Downloads/HST_UV/outputs/images/SN2013ex/LegacySurvey/LegacySurvey_r.fits,SN2013ex,83.1942,-14.0459,0.010242,HST,kpc,20.8548,0.108914,20.7178,2.07828,19.2084,0.0480335,94.3889,4.17581,19.0455,0.0617684,109.664,6.23889,24.1457,SN2013ex,83.1942,-14.0459,0.010242,kpc,18.0742,0.815106,58.9262,44.2383,16.5957,0.417288,229.992,88.3943,15.8299,0.307975,465.636,132.08,22.5,9.96874,False,,3,,1.33202,False,,3,,22.6037,False,,3,,2.60189,False,,3,,17.5775,False,,3,,3.5254,False,,3,,33.2491,-12.3943,-14.0407,-14.2036,,,,,,,-15.1748,-16.6533,-17.4192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,3,,,,,3,,,,,,,,/Users/lluisgalbany/Downloads/HST_UV/outputs/images/SN2013ex/PanSTARRS/PanSTARRS_r.fits,rband_only_ok,,PanSTARRS,r,/Users/lluisgalbany/Downloads/HST_UV/outputs/images/SN2013ex/PanSTARRS/PanSTARRS_r.fits,SN2013ex,83.1942,-14.0459,0.010242,kpc,18.2484,0.022086,501.92,7.63509,16.7838,0.0165757,1934.02,22.0797,16.0492,0.0155497,3804.53,40.7461,25.0,65.7386,False,,3,,87.5927,False,,3,,93.3716,False,,3,,,,,-15.0007,-16.4653,-17.1999,/Users/lluisgalbany/Downloads/HST_UV/outputs/images/SN2013ex/SkyMapper/SkyMapper_r.fits,rband_only_ok,,SkyMapper,r,/Users/lluisgalbany/Downloads/HST_UV/outputs/images/SN2013ex/SkyMapper/SkyMapper_r.fits,SN2013ex,83.1942,-14.0459,0.010242,kpc,18.8635,0.0529559,9883.23,482.047,17.3769,0.0279137,38864.4,999.184,16.6312,0.0217906,77237.3,1550.14,28.8508,20.5026,False,,3.0,,38.8961,False,,3.0,,49.8259,False,,3.0,,,,,-14.3855,-15.8722,-16.6178
/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g0l010_drc.fits,ASASSN-13ch,244.142,-0.590939,0.016468,ok,,LegacySurvey,r,/Users/lluisgalbany/Downloads/HST_UV/outputs/images/ASASSN-13ch/LegacySurvey/LegacySurvey_r.fits,ASASSN-13ch,244.142,-0.590939,0.016468,HST,kpc,21.7067,0.11932,9.44281,1.03774,20.5754,0.0842471,26.7684,2.07708,19.7148,0.057304,59.1342,3.12104,24.1444,ASASSN-13ch,244.142,-0.590939,0.016468,kpc,18.9357,1.08997,26.651,26.7548,17.2288,0.456899,128.374,54.0222,15.9505,0.216302,416.681,83.0121,22.5,9.09937,False,,3,,0.99612,False,,3,,12.8875,False,,3,,2.37631,False,,3,,18.947,False,,3,,5.01953,False,,3,,34.2908,-12.5841,-13.7154,-14.5759,,,,,,,-15.355,-17.0619,-18.3403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,3,,,,,3,,,,,,,,/Users/lluisgalbany/Downloads/HST_UV/outputs/images/ASASSN-13ch/PanSTARRS/PanSTARRS_r.fits,rband_only_ok,,PanSTARRS,r,/Users/lluisgalbany/Downloads/HST_UV/outputs/images/ASASSN-13ch/PanSTARRS/PanSTARRS_r.fits,ASASSN-13ch,244.142,-0.590939,0.016468,kpc,19.1229,0.0189716,224.31,3.06833,17.3691,0.0149119,1128.16,12.1297,16.0729,0.0142005,3722.69,38.1162,25.0,73.1049,False,,3,,93.0081,False,,3,,97.6669,False,,3,,,,,-15.1679,-16.9217,-18.2179,/Users/lluisgalbany/Downloads/HST_UV/outputs/images/ASASSN-13ch/SkyMapper/SkyMapper_r.fits,rband_only_ok,,SkyMapper,r,/Users/lluisgalbany/Downloads/HST_UV/outputs/images/ASASSN-13ch/SkyMapper/SkyMapper_r.fits,ASASSN-13ch,244.142,-0.590939,0.016468,kpc,19.038,0.0429867,6994.31,276.92,17.3123,0.0197745,34278.8,624.32,16.1628,0.0132291,98816.1,1204.02,28.6498,25.2575,False,,3.0,,54.9059,False,,3.0,,82.0717,False,,3.0,,,,,-15.2528,-16.9785,-18.128
/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g0m010_drc.fits,ASASSN-13cj,244.296,4.55409,0.016464,ok,,LegacySurvey,r,/Users/lluisgalbany/Downloads/HST_UV/outputs/images/ASASSN-13cj/LegacySurvey/LegacySurvey_r.fits,ASASSN-13cj,244.296,4.55409,0.016464,HST,kpc,20.1553,0.0232883,39.382,0.844715,19.7045,0.0302455,59.6516,1.66172,19.4407,0.0353685,76.0562,2.47757,24.1436,ASASSN-13cj,244.296,4.55409,0.016464,kpc,15.9042,0.0980305,434.83,39.2605,15.2901,0.088843,765.54,62.6421,15.0056,0.0922942,994.831,84.5667,22.5,46.6216,False,,3,,11.0755,False,,3,,35.8975,False,,3,,12.2208,False,,3,,30.6979,False,,3,,11.7639,False,,3,,34.2902,-14.1349,-14.5857,-14.8495,,,,,,,-18.386,-19.0001,-19.2846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,3,,,,,3,,,,,,,,/Users/lluisgalbany/Downloads/HST_UV/outputs/images/ASASSN-13cj/PanSTARRS/PanSTARRS_r.fits,rband_only_ok,,PanSTARRS,r,/Users/lluisgalbany/Downloads/HST_UV/outputs/images/ASASSN-13cj/PanSTARRS/PanSTARRS_r.fits,ASASSN-13cj,244.296,4.55409,0.016464,kpc,15.9918,0.0141109,4011.42,52.1348,15.3765,0.0141262,7069.45,91.9784,15.0892,0.0141581,9211.09,120.114,25.0,76.9431,False,,3,,76.8599,False,,3,,76.6863,False,,3,,,,,-18.2985,-18.9137,-19.201,/Users/lluisgalbany/Downloads/HST_UV/outputs/images/ASASSN-13cj/SkyMapper/SkyMapper_r.fits,rband_only_ok,,SkyMapper,r,/Users/lluisgalbany/Downloads/HST_UV/outputs/images/ASASSN-13cj/SkyMapper/SkyMapper_r.fits,ASASSN-13cj,244.296,4.55409,0.016464,kpc,16.1409,0.0706574,4876.31,317.34,15.4001,0.0697801,9647.04,620.014,15.1218,0.0741477,12466.2,851.349,25.3611,15.3662,False,,3.0,,15.5594,False,,3.0,,14.6429,False,,3.0,,,,,-18.1493,-18.8901,-19.1684
/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo71010_drc.fits,ASASSN-13cp,233.455,21.1394,0.023508,ok,,LegacySurvey,r,/Users/lluisgalbany/Downloads/HST_UV/outputs/images/ASASSN-13cp/LegacySurvey/LegacySurvey_r.fits,ASASSN-13cp,233.455,21.1394,0.023508,HST,kpc,,,-0.108865,0.536222,22.4827,0.251679,4.62714,1.07259,21.7616,0.194875,8.98955,1.61351,24.1459,ASASSN-13cp,233.455,21.1394,0.023508,kpc,18.7838,0.635713,30.6538,17.9482,17.202,0.298503,131.585,36.1768,16.2269,0.184278,323.018,54.8248,22.5,-0.203023,True,1.60867,3,23.6298,1.7079,False,,3,,4.31398,False,,3,,3.63727,False,,3,,5.57144,False,,3,,5.89184,False,,3,,35.0753,,-12.5926,-13.3137,-11.4455,,,,,,-16.2915,-17.8733,-18.8484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,3,,,,,3,,,,,,,,/Users/lluisgalbany/Downloads/HST_UV/outputs/images/ASASSN-13cp/PanSTARRS/PanSTARRS_r.fits,rband_only_ok,,PanSTARRS,r,/Users/lluisgalbany/Downloads/HST_UV/outputs/images/ASASSN-13cp/PanSTARRS/PanSTARRS_r.fits,ASASSN-13cp,233.455,21.1394,0.023508,kpc,18.8382,0.0177758,291.555,4.24928,17.2482,0.0148875,1261.0,15.3922,16.2722,0.0143358,3098.3,36.4176,25.0,68.6128,False,,3,,81.9246,False,,3,,85.077,False,,3,,,,,-16.2371,-17.8271,-18.8031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g0n010_drc.fits,ASASSN-13cu,10.0422,-10.4405,0.02718,ok,,LegacySurvey,r,/Users/lluisgalbany/Downloads/HST_UV/outputs/images/ASASSN-13cu/LegacySurvey/LegacySurvey_r.fits,ASASSN-13cu,10.0422,-10.4405,0.02718,HST,kpc,20.7077,0.0207636,23.6885,0.453018,18.6508,0.00685,157.506,0.993717,17.8772,0.00523528,321.19,1.54874,24.1441,ASASSN-13cu,10.0422,-10.4405,0.02718,kpc,18.3885,0.403855,44.1174,16.4101,16.7162,0.178117,205.843,33.7691,15.7915,0.114959,482.38,51.0748,22.5,52.2905,False,,3,,2.68843,False,,3,,158.502,False,,3,,6.09562,False,,3,,207.388,False,,3,,9.44458,False,,3,,35.3965,-14.6888,-16.7457,-17.5193,,,,,,,-17.008,-18.6803,-19.605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,3,,,,,3,,,,,,,,/Users/lluisgalbany/Downloads/HST_UV/outputs/images/ASASSN-13cu/PanSTARRS/PanSTARRS_r.fits,rband_only_ok,,PanSTARRS,r,/Users/lluisgalbany/Downloads/HST_UV/outputs/images/ASASSN-13cu/PanSTARRS/PanSTARRS_r.fits,ASASSN-13cu,10.0422,-10.4405,0.02718,kpc,18.2352,0.0145081,508.063,6.33517,16.6731,0.0141177,2141.75,25.9875,15.76,0.0140498,4965.84,59.9646,25.0,80.1972,False,,3,,82.4146,False,,3,,82.8129,False,,3,,,,,-17.1613,-18.7234,-19.6365,/Users/lluisgalbany/Downloads/HST_UV/outputs/images/ASASSN-13cu/SkyMapper/SkyMapper_r.fits,rband_only_ok,,SkyMapper,r,/Users/lluisgalbany/Downloads/HST_UV/outputs/images/ASASSN-13cu/SkyMapper/SkyMapper_r.fits,ASASSN-13cu,10.0422,-10.4405,0.02718,kpc,18.3778,0.0151913,15838.0,221.6,16.8025,0.0106299,67583.6,661.677,15.882,0.00963996,157780.0,1400.88,28.8771,71.471,False,,3.0,,102.14,False,,3.0,,112.629,False,,3.0,,,,,-17.0187,-18.594,-19.5145
/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo1v010_drc.fits,SN2008hv,136.892,3.39225,0.012646,ok,,LegacySurvey,r,/Users/lluisgalbany/Downloads/HST_UV/outputs/images/SN2008hv/LegacySurvey/LegacySurvey_r.fits,SN2008hv,136.892,3.39225,0.012646,HST,kpc,22.5515,0.210608,4.34517,0.842865,21.5835,0.174059,10.5973,1.6989,20.8274,0.130426,21.2649,2.55447,24.1465,SN2008hv,136.892,3.39225,0.012646,kpc,18.0724,0.55169,59.0261,29.9926,16.5943,0.282345,230.288,59.8862,15.713,0.188112,518.561,89.8449,22.5,5.15524,False,,3,,1.96802,False,,3,,6.23774,False,,3,,3.84543,False,,3,,8.32456,False,,3,,5.77174,False,,3,,33.7109,-11.1594,-12.1274,-12.8836,,,,,,,-15.6385,-17.1166,-17.9979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,3,,,,,3,,,,,,,,/Users/lluisgalbany/Downloads/HST_UV/outputs/images/SN2008hv/PanSTARRS/PanSTARRS_r.fits,rband_only_ok,,PanSTARRS,r,/Users/lluisgalbany/Downloads/HST_UV/outputs/images/SN2008hv/PanSTARRS/PanSTARRS_r.fits,SN2008hv,136.892,3.39225,0.012646,kpc,18.2405,0.0185498,505.585,8.09803,16.7624,0.0153692,1972.53,26.1769,15.8856,0.0146606,4423.43,55.9958,25.0,62.4331,False,,3,,75.3538,False,,3,,78.9957,False,,3,,,,,-15.4704,-16.9485,-17.8253,/Users/lluisgalbany/Downloads/HST_UV/outputs/images/SN2008hv/SkyMapper/SkyMapper_r.fits,rband_only_ok,,SkyMapper,r,/Users/lluisgalbany/Downloads/HST_UV/outputs/images/SN2008hv/SkyMapper/SkyMapper_r.fits,SN2008hv,136.892,3.39225,0.012646,kpc,18.8712,0.416099,313.808,120.264,17.5615,0.249466,1048.41,240.889,16.5565,0.149687,2645.77,364.763,25.1128,2.60932,False,,3.0,,4.35224,False,,3.0,,7.25339,False,,3.0,,,,,-14.8398,-16.1494,-17.1545
/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g0o010_drc.fits,SN2013hk,45.5452,15.9274,0.017004,ok,,PanSTARRS,r,/Users/lluisgalbany/Downloads/HST_UV/outputs/images/SN2013hk/PanSTARRS/PanSTARRS_r.fits,SN2013hk,45.5452,15.9274,0.017004,HST,kpc,19.3183,0.0139638,85.1717,1.0954,17.6852,0.00641592,383.291,2.26497,17.5191,0.00794349,446.659,3.26786,24.144,SN2013hk,45.5452,15.9274,0.017004,kpc,16.1613,0.0141471,3431.42,44.7113,14.9002,0.0140533,10963.2,141.903,14.6483,0.0140641,13825.3,179.086,25.0,77.7537,False,,3,,76.7463,False,,3,,169.225,False,,3,,77.2585,False,,3,,136.683,False,,3,,77.1991,False,,3,,34.3612,-15.0429,-16.676,-16.8421,,,,,,,-18.1999,-19.461,-19.7129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,3,,,,,3,,,,,,,,/Users/lluisgalbany/Downloads/HST_UV/outputs/images/SN2013hk/PanSTARRS/PanSTARRS_r.fits,rband_only_ok,,PanSTARRS,r,/Users/lluisgalbany/Downloads/HST_UV/outputs/images/SN2013hk/PanSTARRS/PanSTARRS_r.fits,SN2013hk,45.5452,15.9274,0.017004,kpc,16.1613,0.0141471,3431.42,44.7113,14.9002,0.0140533,10963.2,141.903,14.6483,0.0140641,13825.3,179.086,25.0,76.7463,False,,3,,77.2585,False,,3,,77.1991,False,,3,,,,,-18.1999,-19.461,-19.7129,/Users/lluisgalbany/Downloads/HST_UV/outputs/images/SN2013hk/SkyMapper/SkyMapper_r.fits,rband_only_ok,,SkyMapper,r,/Users/lluisgalbany/Downloads/HST_UV/outputs/images/SN2013hk/SkyMapper/SkyMapper_r.fits,SN2013hk,45.5452,15.9274,0.017004,kpc,16.4335,0.0483622,3543.41,157.835,15.1832,0.0345689,11208.3,356.864,14.805,0.0347968,15878.4,508.887,25.3071,22.4501,False,,3.0,,31.4079,False,,3.0,,31.2022,False,,3.0,,,,,-17.9277,-19.178,-19.5561
