SN name,UV mag,UV abs mag,r mag,r abs mag,F275W-r,r survey
ASASSN-13ch,21.707 (0.119),-12.584 (0.119),19.123 (0.019),-15.168 (0.019),2.584 (0.121),PanSTARRS
ASASSN-13cj,20.155 (0.023),-14.135 (0.023),15.992 (0.014),-18.298 (0.014),4.164 (0.027),PanSTARRS
ASASSN-13cp,(23.942),(-11.134),18.838 (0.018),-16.237 (0.018),$>5.103$,PanSTARRS
ASASSN-13cu,20.708 (0.021),-14.689 (0.021),18.235 (0.015),-17.161 (0.015),2.473 (0.025),PanSTARRS
ASASSN-14ba,20.557 (0.015),-15.246 (0.015),18.167 (0.014),-17.637 (0.014),2.390 (0.021),PanSTARRS
ASASSN-14cu,21.522 (0.060),-13.665 (0.060),16.743 (0.014),-18.444 (0.014),4.779 (0.061),PanSTARRS
ASASSN-14db,21.171 (0.025),-14.934 (0.025),18.099 (0.014),-18.006 (0.014),3.072 (0.028),SkyMapper
ASASSN-14dd,20.888 (0.063),-13.579 (0.063),19.188 (0.062),-15.279 (0.062),1.700 (0.088),SkyMapper
ASASSN-14dz,21.503 (0.049),-13.458 (0.049),17.226 (0.014),-17.735 (0.014),4.277 (0.051),PanSTARRS
ASASSN-14fa,22.994 (0.176),-11.966 (0.176),20.278 (0.019),-14.682 (0.019),2.715 (0.177),DES
ASASSN-14hr,21.727 (0.037),-14.138 (0.037),18.927 (0.007),-16.938 (0.007),2.800 (0.038),DES
ASASSN-14hu,22.639 (0.166),-12.253 (0.166),21.781 (0.386),-13.111 (0.386),0.858 (0.420),SkyMapper
ASASSN-14ig,21.998 (0.055),-13.551 (0.055),17.285 (0.007),-18.264 (0.007),4.713 (0.056),DES
ASASSN-14jc,18.312 (0.010),-15.117 (0.010),15.839 (0.010),-17.591 (0.010),2.474 (0.014),SkyMapper
ASASSN-14jg,19.954 (0.017),-14.103 (0.017),17.071 (0.006),-16.986 (0.006),2.883 (0.018),DES
ASASSN-14kq,23.350 (0.167),-12.527 (0.167),21.059 (0.060),-14.818 (0.060),2.291 (0.178),PanSTARRS
ASASSN-14lt,22.953 (0.144),-12.799 (0.144),17.465 (0.005),-18.286 (0.005),5.488 (0.144),DES
ASASSN-14lv,23.123 (0.097),-13.601 (0.097),19.968 (0.008),-16.756 (0.008),3.155 (0.097),DES
